"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,11.4392523364486,0.196261682242991,283,2.59345794392523,1.34,4.28,0.5,2.99,22.04,25.5,20.5,399.44,387.61,16.948,19.363,63.59,72.65,300.2,1799,99.8,"Auburn_Ivom_3"
"2",2,8.80373831775701,0.176635514018692,203,2.18691588785047,1.26,4.28,0.5,2.99,20.62,24.93,18.47,299.43,290.46,17.108,19.147,70.01,78.35,300.2,1800,99.8,"Auburn_Ivom_3"
"3",3,4.19158878504673,0.213084112149533,159,2.48130841121495,1.18,4.28,0.5,2.99,21.43,24.85,20.33,199.5,195.05,17.406,19.714,67.98,76.78,300.2,1800,99.8,"Auburn_Ivom_3"
"4",4,0.640654205607477,0.231308411214953,91.6,2.67757009345794,1.19,4.28,0.5,2.99,21.53,25,20.32,98.97,98.11,17.469,19.963,67.77,77.26,300.2,1800,99.8,"Auburn_Ivom_3"
"5",5,-1.00093457943925,0.248130841121495,57.3,2.83177570093458,1.18,4.28,0.5,2.99,21.56,25.07,20.32,50.74,51.56,17.556,20.194,67.97,78,300.2,1799,99.8,"Auburn_Ivom_3"
"6",6,11.0467289719626,0.270560747663551,312,3.04205607476635,1.16,4.28,0.5,2.99,21.6,25.16,20.32,399.65,388.03,17.679,20.508,68.3,79.02,300.2,1800,99.8,"Auburn_Ivom_3"
"7",7,11.2009345794393,0.266355140186916,310,2.98598130841121,1.16,4.28,0.5,2.99,21.4,25.12,19.91,399.66,387.92,17.692,20.475,69.16,79.89,300.2,1800,99.8,"Auburn_Ivom_3"
"8",8,13.3738317757009,0.182242990654206,454,2.20093457943925,1.22,4.28,0.5,2.99,21.19,25.09,19.74,599.87,585.94,17.764,19.809,70.32,78.32,300.2,1800,99.8,"Auburn_Ivom_3"
"9",9,14.8598130841121,0.107803738317757,546,1.39626168224299,1.29,4.28,0.5,2.99,21.15,25.14,19.74,800.7,785.55,17.892,19.194,70.95,76.02,300.2,1800,99.79,"Auburn_Ivom_3"
"10",10,15.5607476635514,0.104719626168224,723,1.34579439252336,1.28,4.28,0.5,2.99,21.02,25.11,19.54,999.47,983.41,17.988,19.242,71.92,76.82,300.2,1799,99.8,"Auburn_Ivom_3"
"11",11,16.2616822429907,0.105420560747664,910,1.35140186915888,1.28,4.28,0.5,2.99,21.02,25.12,19.54,1200.4,1183.48,18.037,19.296,72.13,77.08,300.2,1799,99.8,"Auburn_Ivom_3"
"12",12,17.3831775700935,0.0911214953271028,1140,1.17476635514019,1.28,4.28,0.5,2.99,20.78,25.09,19.15,1500.36,1482.17,18.094,19.189,73.34,77.78,300.2,1800,99.8,"Auburn_Ivom_3"
"13",13,17.803738317757,0.0771028037383178,1570,0.995327102803738,1.28,4.28,0.5,2.99,20.73,25.04,19.15,1999.8,1981.04,18.182,19.111,73.97,77.71,300.2,1800,99.79,"Auburn_Ivom_3"
