"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",7.76,0.108,259,0.98,0.919,6,0.5,2.25,24.19,25.37,23.7,399.6,383.3,21.438,23.354,70.66,76.98,299.6,1801,99.86,"Auburn_Mgra_1"
"2",5.65,0.1,191,0.917,0.926,6,0.5,2.25,23.54,25.38,22.53,300.42,288.57,21.497,23.29,73.66,79.8,299.6,1800,99.85,"Auburn_Mgra_1"
"3",3.12,0.107,142,0.898,0.857,6,0.5,2.25,23.07,25.06,22.15,199.53,192.94,21.625,23.382,76.38,82.43,299.6,1800,99.85,"Auburn_Mgra_1"
"4",0.72,0.115,86.8,0.899,0.801,6,0.5,2.25,22.59,24.77,21.56,100.17,98.55,21.633,23.392,78.66,84.92,299.6,1800,99.85,"Auburn_Mgra_1"
"5",-1.3,0.227,59.5,1.54,0.726,6,0.5,2.25,23.59,24.86,23.82,47.8,50.24,21.298,24.308,73.14,83.16,299.6,1800,99.85,"Auburn_Mgra_1"
"6",9.06,0.177,286,1.96,1.16,6,0.5,2.25,22.9,24.69,21.94,399.7,380.06,15.751,19.596,56.09,69.79,299.6,1800,99.84,"Auburn_Mgra_1"
"7",9.06,0.167,281,1.9,1.19,6,0.5,2.25,23.14,24.76,22.35,399.67,380.08,15.767,19.492,55.34,68.42,299.6,1799,99.84,"Auburn_Mgra_1"
"8",12.4,0.155,430,1.76,1.18,6,0.5,2.25,22.78,24.62,21.54,601.35,574.57,15.812,19.274,56.72,69.14,299.6,1799,99.84,"Auburn_Mgra_1"
"9",14.6,0.14,577,1.72,1.28,6,0.5,2.25,23.79,25.09,23.12,799.1,767.25,15.843,19.231,53.5,64.93,299.6,1801,99.84,"Auburn_Mgra_1"
"10",15.6,0.125,739,1.57,1.29,6,0.5,2.25,23.24,25.08,22.34,1000.59,966.39,15.949,19.034,55.82,66.41,299.6,1801,99.84,"Auburn_Mgra_1"
"11",16.2,0.114,904,1.43,1.29,6,0.5,2.25,22.83,24.94,21.75,1199.59,1163.78,16.018,18.838,57.51,67.39,299.6,1801,99.83,"Auburn_Mgra_1"
"12",18,0.111,1160,1.42,1.31,6,0.5,2.25,23.34,25.02,22.54,1499.73,1459.52,15.925,18.723,55.26,64.94,299.6,1800,99.83,"Auburn_Mgra_1"
"13",19,0.0999,1600,1.33,1.35,6,0.5,2.25,23.5,25.13,22.74,1999.91,1956.74,15.949,18.562,54.79,63.77,299.6,1801,99.83,"Auburn_Mgra_1"
