"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",4.21,0.0753,288,1.34,1.8,6,0.5,2.25,21.9,25.99,20.38,399.36,389.9,13.106,15.747,49.71,59.72,300.2,1800,100.1,"Auburn_Mgra_14"
"2",2.87,0.0758,223,1.32,1.76,6,0.5,2.25,21.62,25.81,20.11,298.66,292.16,13.11,15.716,50.59,60.64,300.2,1799,100.1,"Auburn_Mgra_14"
"3",1.44,0.0781,161,1.35,1.75,6,0.5,2.25,21.54,25.75,20.02,199.67,196.26,13.129,15.784,50.91,61.21,300.2,1800,100.1,"Auburn_Mgra_14"
"4",-0.144,0.0862,99.4,1.47,1.73,6,0.5,2.25,21.56,25.78,20.04,99.41,99.41,13.146,16.036,50.91,62.1,300.2,1799,100.1,"Auburn_Mgra_14"
"5",-0.93,0.101,66.3,1.66,1.68,6,0.5,2.25,21.59,25.74,20.06,50.99,52.67,13.178,16.45,50.96,63.61,300.2,1800,100.1,"Auburn_Mgra_14"
"6",4.3,0.0858,298,1.46,1.73,6,0.5,2.25,21.59,25.79,20.08,399.9,390.16,13.202,16.076,51.03,62.14,300.1,1799,100,"Auburn_Mgra_14"
"7",4.23,0.0784,292,1.37,1.77,6,0.5,2.25,21.68,25.93,20.16,399.93,390.4,13.248,15.944,50.94,61.31,300.2,1800,100,"Auburn_Mgra_14"
"8",6.08,0.0724,434,1.29,1.8,6,0.5,2.25,21.76,26.04,20.23,600.29,586.63,13.3,15.841,50.9,60.62,300.2,1800,100,"Auburn_Mgra_14"
"9",7.55,0.0678,581,1.23,1.82,6,0.5,2.25,21.82,26.12,20.3,801.3,784.28,13.348,15.767,50.87,60.09,300.2,1799,100,"Auburn_Mgra_14"
"10",8.61,0.0646,736,1.2,1.86,6,0.5,2.25,22.06,26.31,20.54,1000.23,980.68,13.411,15.768,50.39,59.25,300.2,1800,100,"Auburn_Mgra_14"
"11",9.3,0.0622,903,1.17,1.89,6,0.5,2.25,22.21,26.44,20.71,1201.13,1179.78,13.433,15.738,49.99,58.57,300.2,1800,100,"Auburn_Mgra_14"
"12",10.2,0.0606,1160,1.17,1.93,6,0.5,2.25,22.39,26.63,20.89,1499.36,1475.61,13.446,15.74,49.51,57.96,300.2,1799,100,"Auburn_Mgra_14"
"13",11.1,0.0592,1610,1.16,1.97,6,0.5,2.25,22.6,26.84,21.1,2000.54,1973.67,13.481,15.772,48.98,57.31,300.1,1800,100,"Auburn_Mgra_14"
