"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1.4,0.0176,260,0.32,1.78,6,0.5,2.25,22.54,26.33,21.02,400.34,397.29,15.997,16.625,58.33,60.62,300.2,1799,100,"Auburn_Mvir_1"
"2",1.3,0.0229,197,0.4,1.72,6,0.5,2.25,22.31,26.13,20.78,298.74,295.89,16.048,16.834,59.34,62.24,300.2,1800,99.99,"Auburn_Mvir_1"
"3",1.03,0.0304,138,0.515,1.67,6,0.5,2.25,22.24,26.05,20.72,199.73,197.47,16.103,17.116,59.8,63.56,300.2,1799,100,"Auburn_Mvir_1"
"4",0.219,0.0394,87.3,0.647,1.63,6,0.5,2.25,22.21,25.99,20.69,99.34,98.78,16.155,17.426,60.09,64.82,300.2,1799,99.99,"Auburn_Mvir_1"
"5",-0.322,0.0486,60.8,0.782,1.6,6,0.5,2.25,22.23,26,20.71,50.94,51.51,16.193,17.729,60.17,65.87,300.2,1800,99.99,"Auburn_Mvir_1"
"6",5.25,0.0583,234,0.92,1.58,6,0.5,2.25,22.3,26.03,20.78,400.21,389,16.237,18.043,60.08,66.76,300.2,1799,99.99,"Auburn_Mvir_1"
"7",5.67,0.0627,232,0.981,1.56,6,0.5,2.25,22.35,26.06,20.82,400.23,388.14,16.291,18.216,60.1,67.21,300.1,1799,99.98,"Auburn_Mvir_1"
"8",8.83,0.0627,338,0.988,1.58,6,0.5,2.25,22.41,26.15,20.89,599.77,580.97,16.357,18.295,60.11,67.23,300.1,1799,99.98,"Auburn_Mvir_1"
"9",11.3,0.0576,441,0.927,1.61,6,0.5,2.25,22.53,26.3,21.01,800.99,777.04,16.471,18.29,60.08,66.71,300.1,1799,99.97,"Auburn_Mvir_1"
"10",12.7,0.0503,541,0.823,1.63,6,0.5,2.25,22.58,26.36,21.05,1000.09,973.08,16.561,18.178,60.24,66.13,300,1799,99.97,"Auburn_Mvir_1"
"11",13.6,0.0396,591,0.636,1.59,6,0.5,2.25,21.43,26,19.2,1200.5,1171.78,16.612,17.86,64.79,69.66,300.1,1799,99.97,"Auburn_Mvir_1"
"12",14,0.0332,763,0.472,1.41,6,0.5,2.25,19.9,24.89,17.56,1500.62,1471.28,16.602,17.528,71.16,75.13,300.2,1800,99.96,"Auburn_Mvir_1"
"13",14.4,0.0326,1220,0.462,1.4,6,0.5,2.25,20.43,24.86,18.76,2000.74,1970.21,16.599,17.507,68.85,72.62,300.2,1799,99.96,"Auburn_Mvir_1"
