"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",3.32,0.0343,225,0.718,2.05,6,0.5,2.25,23.52,28.37,21.76,400.28,393.06,16.928,18.34,57.8,62.62,299.6,1799,99.35,"Auburn_Ppal_1"
"2",2.12,0.03,173,0.637,2.08,6,0.5,2.25,23.43,28.42,21.67,299.6,294.99,16.997,18.25,58.34,62.64,299.6,1799,99.36,"Auburn_Ppal_1"
"3",0.97,0.027,133,0.573,2.07,6,0.5,2.25,23.43,28.35,21.65,198.75,196.58,16.981,18.108,58.31,62.18,299.6,1801,99.35,"Auburn_Ppal_1"
"4",0.123,0.0271,90.1,0.576,2.07,6,0.5,2.25,23.44,28.31,21.66,100.99,100.63,16.903,18.036,57.99,61.88,299.6,1801,99.35,"Auburn_Ppal_1"
"5",-0.359,0.0282,69.1,0.613,2.13,6,0.5,2.25,23.38,28.51,21.61,49.93,50.59,16.76,17.966,57.71,61.86,299.6,1801,99.33,"Auburn_Ppal_1"
"6",3.4,0.0303,201,0.647,2.09,6,0.5,2.25,23.34,28.35,21.57,400.08,392.77,16.662,17.935,57.5,61.89,299.6,1800,99.34,"Auburn_Ppal_1"
"7",3.5,0.0308,198,0.668,2.12,6,0.5,2.25,23.35,28.46,21.57,400.15,392.6,16.603,17.916,57.28,61.81,299.6,1800,99.33,"Auburn_Ppal_1"
"8",5.71,0.0323,287,0.678,2.06,6,0.5,2.25,23.37,28.18,21.6,600.71,588.47,16.564,17.897,57.05,61.64,299.6,1800,99.33,"Auburn_Ppal_1"
"9",7.75,0.0329,382,0.672,2,6,0.5,2.25,23.39,27.9,21.62,798.83,782.26,16.539,17.861,56.9,61.45,299.6,1799,99.33,"Auburn_Ppal_1"
"10",9.91,0.0317,448,0.677,2.09,6,0.5,2.25,23.42,28.3,21.64,1000.4,979.22,16.515,17.847,56.73,61.3,299.6,1800,99.33,"Auburn_Ppal_1"
"11",11.9,0.0308,519,0.675,2.15,6,0.5,2.25,23.36,28.51,21.59,1200.68,1175.25,16.44,17.768,56.65,61.23,299.6,1800,99.33,"Auburn_Ppal_1"
"12",14.7,0.0313,670,0.693,2.16,6,0.5,2.25,23.39,28.6,21.61,1499.16,1467.7,16.396,17.759,56.42,61.11,299.6,1800,99.33,"Auburn_Ppal_1"
"13",17.3,0.0329,1060,0.688,2.05,6,0.5,2.25,23.35,28.05,21.58,2000.79,1963.4,16.33,17.684,56.32,60.99,299.6,1800,99.33,"Auburn_Ppal_1"
