"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",10.5,0.134,240,1.88,1.44,6,0.5,2.25,23.47,25.25,22.52,400.32,377.91,14.258,17.948,49.04,61.72,299.6,1800,99.74,"Auburn_Qvir_5"
"2",8.48,0.15,179,2.07,1.43,6,0.5,2.25,22.89,25.42,22.5,298.64,280.51,14.263,18.327,50.86,65.34,299.6,1800,99.74,"Auburn_Qvir_5"
"3",5.23,0.161,129,2.06,1.33,6,0.5,2.25,22.07,25,20.4,198.8,187.55,14.443,18.493,54.33,69.17,299.6,1800,99.74,"Auburn_Qvir_5"
"4",1.85,0.195,77.6,2.33,1.26,6,0.5,2.25,22.07,24.8,20.98,99.77,95.62,14.28,18.861,53.45,70.59,299.6,1801,99.74,"Auburn_Qvir_5"
"5",-0.161,0.226,50.2,2.55,1.21,6,0.5,2.25,22.78,24.78,22.12,49.91,49.98,14.363,19.362,51.78,69.41,299.6,1801,99.74,"Auburn_Qvir_5"
"6",15.4,0.262,259,2.84,1.18,6,0.5,2.25,22.58,24.83,21,401.17,368.28,14.202,19.781,51.48,71.71,299.6,1800,99.73,"Auburn_Qvir_5"
"7",15.5,0.276,260,2.95,1.16,6,0.5,2.25,22.68,24.92,21.76,399.16,365.87,14.277,20.063,51.75,72.36,299.6,1800,99.73,"Auburn_Qvir_5"
"8",22.4,0.301,409,3.21,1.18,6,0.5,2.25,23.54,25.21,22.94,599.91,551.43,14.19,20.494,48.57,70.15,299.6,1800,99.73,"Auburn_Qvir_5"
"9",26.1,0.309,580,3.21,1.15,6,0.5,2.25,23.06,25.05,22.94,799.96,743.11,14.203,20.48,50.12,72.26,300.6,1800,99.72,"Auburn_Qvir_5"
"10",27.1,0.253,736,2.75,1.18,6,0.5,2.25,23.43,24.74,22.4,1000.07,940.69,14.198,19.589,48.89,67.47,300.5,1800,99.72,"Auburn_Qvir_5"
"11",27.5,0.165,837,2.15,1.36,6,0.5,2.25,22.25,25.09,21.18,1200.96,1141.24,14.212,18.432,52.62,68.26,300.5,1800,99.72,"Auburn_Qvir_5"
"12",23.7,0.0819,941,1.26,1.55,6,0.5,2.25,22.2,25.16,21.17,1500.16,1449.21,14.211,16.677,52.76,61.93,300.5,1800,99.72,"Auburn_Qvir_5"
"13",21.5,0.0489,1200,0.764,1.55,6,0.5,2.25,21.03,24.69,19.32,2000.35,1954.36,14.209,15.71,56.66,62.66,300.5,1800,99.72,"Auburn_Qvir_5"
