"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",6.66,0.0647,210,0.878,1.36,6,0.5,2.25,21.36,25.26,19.85,399.72,385.72,17.007,18.728,66.54,73.28,300.2,1801,99.87,"Auburn_Qvir_6"
"2",5.37,0.075,165,0.985,1.32,6,0.5,2.25,21.33,25.2,19.82,299.27,287.96,17.068,19,66.91,74.49,300.2,1800,99.87,"Auburn_Qvir_6"
"3",3.94,0.1,123,1.25,1.26,6,0.5,2.25,21.39,25.22,19.88,199.78,191.42,17.167,19.614,67.04,76.59,300.2,1800,99.86,"Auburn_Qvir_6"
"4",1.17,0.115,78.3,1.37,1.22,6,0.5,2.25,21.41,25.18,19.9,99.65,97.05,17.289,19.98,67.6,77.92,300.2,1800,99.86,"Auburn_Qvir_6"
"5",-0.462,0.129,55.7,1.49,1.18,6,0.5,2.25,21.43,25.17,19.91,49.9,50.67,17.387,20.301,68,79.11,300.2,1799,99.86,"Auburn_Qvir_6"
"6",12.1,0.158,238,1.71,1.13,6,0.5,2.25,21.46,25.1,19.95,399.05,373.56,17.401,20.743,67.91,80.7,300.2,1799,99.86,"Auburn_Qvir_6"
"7",12.5,0.169,242,1.79,1.1,6,0.5,2.25,21.46,25.08,19.95,399.06,372.8,17.433,20.929,68.01,81.38,300.2,1799,99.86,"Auburn_Qvir_6"
"8",18.2,0.182,380,1.85,1.07,6,0.5,2.25,21.47,25.02,19.96,598.16,559.67,17.535,21.155,68.45,82.22,300.2,1800,99.86,"Auburn_Qvir_6"
"9",22,0.172,523,1.78,1.08,6,0.5,2.25,21.44,25.01,19.94,799.42,752.72,17.513,20.999,68.41,81.76,300.2,1800,99.86,"Auburn_Qvir_6"
"10",23.8,0.137,644,1.53,1.15,6,0.5,2.25,21.4,25.06,19.9,1000.74,950.24,17.447,20.446,68.1,79.82,300.2,1800,99.85,"Auburn_Qvir_6"
"11",22.8,0.0918,722,1.13,1.25,6,0.5,2.25,21.39,25.17,19.89,1200.34,1152.22,17.46,19.675,68.21,76.87,300.2,1800,99.85,"Auburn_Qvir_6"
"12",16.9,0.042,787,0.588,1.39,6,0.5,2.25,21.37,25.36,19.86,1499.91,1464.49,17.499,18.652,68.43,72.95,300.2,1800,99.85,"Auburn_Qvir_6"
"13",15,0.0267,1030,0.385,1.42,6,0.5,2.25,21.32,25.36,19.81,2001.16,1969.59,17.557,18.313,68.87,71.84,300.1,1800,99.85,"Auburn_Qvir_6"
