"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",3.28,0.0475,275,0.618,1.29,6,0.5,2.25,25.06,25.14,25.08,399.63,394.36,18.298,19.206,57.27,60.05,400.2,1799,99.74,"BNZ_Llar_6"
"2",2.42,0.0427,198,0.549,1.27,6,0.5,2.25,24.42,25.18,23.69,299.35,295.48,18.665,19.472,60.68,63.23,400.2,1799,99.74,"BNZ_Llar_6"
"3",1.32,0.0442,146,0.552,1.24,6,0.5,2.25,24.13,25.12,23.32,200.2,198.06,18.887,19.699,62.46,65.08,400.2,1799,99.74,"BNZ_Llar_6"
"4",0.316,0.0451,85.5,0.549,1.21,6,0.5,2.25,24.09,25.07,23.32,99.28,98.72,19.103,19.91,63.34,65.95,400.2,1800,99.74,"BNZ_Llar_6"
"5",-0.193,0.0458,55.9,0.539,1.17,6,0.5,2.25,24.05,24.96,23.32,49.78,50.03,19.31,20.101,64.16,66.75,400.2,1800,99.74,"BNZ_Llar_6"
"6",3.37,0.0452,267,0.526,1.15,6,0.5,2.25,24.09,25.11,23.32,400.18,394.82,19.752,20.524,65.47,67.96,400.2,1800,99.74,"BNZ_Llar_6"
"7",3.4,0.0469,270,0.543,1.15,6,0.5,2.25,24.11,25.14,23.32,399.39,393.97,19.859,20.656,65.76,68.34,400.2,1800,99.74,"BNZ_Llar_6"
"8",4.92,0.0464,411,0.526,1.12,6,0.5,2.25,23.99,25.13,23.12,600.77,592.93,20.111,20.882,67.08,69.6,400.2,1799,99.74,"BNZ_Llar_6"
"9",5.44,0.049,597,0.538,1.09,6,0.5,2.25,23.88,25.14,22.93,798.85,790.06,20.428,21.217,68.54,71.19,400.2,1800,99.74,"BNZ_Llar_6"
"10",6.21,0.0461,756,0.484,1.04,6,0.5,2.25,23.82,24.99,22.93,1000.39,990.36,20.721,21.432,69.83,72.16,400.1,1800,99.75,"BNZ_Llar_6"
"11",6.45,0.0506,964,0.515,1.01,6,0.5,2.25,23.8,24.95,22.93,1200.2,1189.61,20.898,21.654,70.44,72.98,400.2,1800,99.74,"BNZ_Llar_6"
"12",6.64,0.0469,1230,0.466,0.985,6,0.5,2.25,23.79,24.92,22.93,1498.41,1487.42,21.175,21.858,71.46,73.71,400.2,1800,99.74,"BNZ_Llar_6"
"13",6.95,0.0504,1730,0.478,0.942,6,0.5,2.25,23.86,24.78,23.14,2000.24,1988.39,21.322,22.023,71.6,73.96,400.2,1801,99.74,"BNZ_Llar_6"
