"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",11.9,0.424,315,3.67,0.975,6,0.5,2.25,24.15,25.09,23.89,399.57,372.92,15.593,22.77,50.5,73.5,299.6,1799,97.55,"BNZ_Pbal_6"
"2",8.92,0.418,236,3.6,0.967,6,0.5,2.25,24.18,25.08,23.92,299.55,279.68,15.801,22.842,51.27,73.6,299.6,1799,97.54,"BNZ_Pbal_6"
"3",5.51,0.422,160,3.6,0.961,6,0.5,2.25,24.18,25.1,23.91,199.91,187.51,15.903,22.947,51.58,73.91,299.6,1800,97.54,"BNZ_Pbal_6"
"4",1.54,0.429,87.4,3.62,0.953,6,0.5,2.25,24.18,25.1,23.92,99.28,95.5,15.93,23.02,51.6,74.18,299.6,1800,97.54,"BNZ_Pbal_6"
"5",-0.415,0.432,50.9,3.63,0.948,6,0.5,2.25,23.99,25.15,23.49,49.48,49.95,16.078,23.169,52.64,75.47,299.6,1799,97.54,"BNZ_Pbal_6"
"6",11.9,0.435,317,3.56,0.925,6,0.5,2.25,23.96,25.13,23.52,399.56,373,16.399,23.362,53.89,76.26,299.6,1800,97.53,"BNZ_Pbal_6"
"7",12.8,0.446,313,3.62,0.921,6,0.5,2.25,23.87,25.14,23.33,400.16,371.85,16.361,23.436,53.87,76.92,299.6,1799,97.53,"BNZ_Pbal_6"
"8",18.7,0.442,471,3.44,0.881,6,0.5,2.25,23.65,24.94,23.13,599.08,557.76,16.722,23.442,55.96,77.94,299.6,1801,97.53,"BNZ_Pbal_6"
"9",21.9,0.45,651,3.46,0.874,6,0.5,2.25,23.65,24.96,23.13,800.76,751.76,16.805,23.562,56.14,78.33,299.6,1800,97.53,"BNZ_Pbal_6"
"10",23.9,0.455,834,3.45,0.864,6,0.5,2.25,23.66,24.97,23.13,999.85,945.37,16.937,23.682,56.56,78.71,299.6,1799,97.53,"BNZ_Pbal_6"
"11",25.4,0.464,1020,3.49,0.86,6,0.5,2.25,23.67,25.01,23.13,1200.04,1141.18,16.99,23.814,56.6,79.08,299.6,1800,97.53,"BNZ_Pbal_6"
"12",26,0.457,1310,3.44,0.859,6,0.5,2.25,23.7,25.08,23.13,1499.23,1437.2,17.232,23.959,57.48,79.42,299.6,1800,97.52,"BNZ_Pbal_6"
"13",27.2,0.463,1790,3.44,0.849,6,0.5,2.25,23.68,25.03,23.13,1998.15,1930.31,17.218,23.948,57.4,79.47,299.6,1800,97.52,"BNZ_Pbal_6"
