"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",11.7,0.321,304,2.67,0.901,6,0.5,2.25,22.87,24.99,21.23,400.29,374.86,18.137,23.364,63.15,81.36,299.6,1801,97.48,"BNZ_Pbal_8"
"2",8.46,0.295,227,2.23,0.812,6,0.5,2.25,21.45,24.11,19.71,300.13,281.94,18.232,22.601,69.25,85.84,299.6,1799,97.48,"BNZ_Pbal_8"
"3",4.87,0.292,156,2.44,0.894,6,0.5,2.25,23.04,24.86,22.34,199.37,188.69,18.414,23.179,63.71,79.94,299.6,1799,97.48,"BNZ_Pbal_8"
"4",1.44,0.278,85.7,2.45,0.939,6,0.5,2.25,23.2,25.15,22.35,99.64,96.27,18.48,23.273,63.31,79.48,299.6,1800,97.48,"BNZ_Pbal_8"
"5",-0.417,0.276,52.3,2.34,0.903,6,0.5,2.25,22.73,24.86,21.75,49.77,50.36,18.517,23.094,65.2,81.15,299.6,1801,97.48,"BNZ_Pbal_8"
"6",11.3,0.265,295,2.3,0.92,6,0.5,2.25,23.15,25.02,22.35,399.93,375.6,18.713,23.216,64.35,79.52,299.6,1799,97.47,"BNZ_Pbal_8"
"7",11.5,0.268,294,2.34,0.927,6,0.5,2.25,23.19,25.12,22.34,399.14,374.41,18.77,23.347,64.39,79.76,299.6,1800,97.47,"BNZ_Pbal_8"
"8",17.1,0.283,448,2.41,0.909,6,0.5,2.25,22.99,25.13,21.95,599.54,562.53,18.833,23.548,65.32,81.42,299.6,1800,97.47,"BNZ_Pbal_8"
"9",21.2,0.294,615,2.45,0.894,6,0.5,2.25,22.87,25.14,21.76,800.11,753.9,18.926,23.726,66.14,82.65,299.6,1800,97.47,"BNZ_Pbal_8"
"10",23.6,0.302,796,2.37,0.844,6,0.5,2.25,22.39,24.88,20.99,999.31,947.59,19.091,23.726,68.75,85.08,299.6,1799,97.47,"BNZ_Pbal_8"
"11",26.3,0.329,983,2.47,0.815,6,0.5,2.25,22.4,24.81,21.17,1199.45,1141.09,19.054,23.886,68.31,85.62,299.6,1801,97.46,"BNZ_Pbal_8"
"12",28.1,0.335,1270,2.5,0.813,6,0.5,2.25,22.65,24.87,21.56,1499.55,1436.09,19.145,24.039,67.83,84.89,299.6,1802,97.46,"BNZ_Pbal_8"
"13",29.8,0.347,1750,2.61,0.821,6,0.5,2.25,22.84,25.01,21.76,1999.46,1929.7,19.13,24.227,66.99,84.55,299.6,1799,97.46,"BNZ_Pbal_8"
