"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",4.35,0.0465,226,1.1,2.38,6,0.5,2.25,23.77,25.19,22.32,399.93,390.36,6.176,8.365,20.95,28.37,299.6,1800,100.2,"BNZ_Pgla_2"
"2",3.15,0.0455,171,1.07,2.37,6,0.5,2.25,23.59,25.11,22.13,299.97,293.03,6.206,8.34,21.4,28.61,299.6,1799,100.2,"BNZ_Pgla_2"
"3",1.86,0.0449,122,1.06,2.36,6,0.5,2.25,23.56,25.06,22.13,199.74,195.6,6.216,8.315,21.51,28.57,299.6,1800,100.2,"BNZ_Pgla_2"
"4",0.469,0.0454,78.5,1.07,2.35,6,0.5,2.25,23.54,25.03,22.13,99.84,98.69,6.187,8.304,21.44,28.57,299.6,1800,100.2,"BNZ_Pgla_2"
"5",-0.154,0.0463,53.6,1.08,2.35,6,0.5,2.25,23.51,24.99,22.13,49.98,50.18,6.147,8.298,21.33,28.59,299.6,1800,100.2,"BNZ_Pgla_2"
"6",4.77,0.0486,219,1.13,2.34,6,0.5,2.25,23.49,24.94,22.14,400.87,390.43,6.041,8.291,20.93,28.6,299.6,1800,100.2,"BNZ_Pgla_2"
"7",4.71,0.0493,223,1.15,2.34,6,0.5,2.25,23.49,24.93,22.14,400.33,390,5.993,8.276,20.68,28.55,299.6,1800,100.2,"BNZ_Pgla_2"
"8",6.96,0.0475,328,1.11,2.34,6,0.5,2.25,23.49,24.92,22.13,599.28,584.05,5.993,8.199,20.8,28.29,299.6,1800,100.2,"BNZ_Pgla_2"
"9",8.57,0.0447,445,1.05,2.35,6,0.5,2.25,23.47,24.91,22.14,798.82,780.02,5.976,8.062,20.79,27.85,299.6,1800,100.2,"BNZ_Pgla_2"
"10",10.2,0.0437,569,1.03,2.36,6,0.5,2.25,23.43,24.84,22.14,1000.57,978.11,5.842,7.889,20.22,27.31,299.6,1799,100.2,"BNZ_Pgla_2"
"11",11,0.039,682,0.934,2.4,6,0.5,2.25,23.67,24.93,22.53,1199.86,1175.66,5.837,7.694,20.01,26.25,299.6,1799,100.2,"BNZ_Pgla_2"
"12",12.1,0.0345,857,0.836,2.42,6,0.5,2.25,23.69,24.95,22.53,1498.92,1472.24,5.824,7.486,19.97,25.52,299.6,1800,100.2,"BNZ_Pgla_2"
"13",13.4,0.0308,1200,0.755,2.44,6,0.5,2.25,23.67,24.91,22.54,2000.1,1970.27,5.728,7.228,19.55,24.67,299.6,1799,100.2,"BNZ_Pgla_2"
