"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,4.27785419532325,0.055777166437414,251,0.9353507565337,1.7,8.724,0.5,2.25,24.69,24.59,25.17,399.88,386.36,11.456,14.151,36.52,45.11,299.6,1800,99.44,"BNZ_Pmar_1"
"2",2,3.43191196698762,0.0607290233837689,189,1.02475928473177,1.7,8.724,0.5,2.25,26.54,24.81,27.88,299.73,288.87,11.542,14.484,32.95,41.35,299.6,1800,99.44,"BNZ_Pmar_1"
"3",3,2.07015130674003,0.0595598349381018,131,1.02475928473177,1.74,8.724,0.5,2.25,26.66,25.12,27.84,199.66,193.06,11.758,14.707,33.5,41.69,299.6,1801,99.44,"BNZ_Pmar_1"
"4",4,0.623108665749656,0.0615543328748281,77.7,1.06602475928473,1.75,8.724,0.5,2.25,26.42,25.22,27.22,99.08,96.97,11.758,14.815,33.8,42.59,299.6,1799,99.45,"BNZ_Pmar_1"
"5",5,-0.166437414030261,0.0606602475928473,53.1,1.03163686382393,1.71,8.724,0.5,2.25,25.85,25.12,26.46,49.67,50,12.045,14.997,35.99,44.59,299.6,1799,99.45,"BNZ_Pmar_1"
"6",6,4.57359009628611,0.0615543328748281,255,1.02475928473177,1.68,8.724,0.5,2.25,25.83,25.07,26.47,400.84,386.37,12.289,15.226,36.75,45.32,299.6,1800,99.45,"BNZ_Pmar_1"
"7",7,4.66299862448418,0.0627922971114168,253,1.03851444291609,1.68,8.724,0.5,2.25,25.86,25.12,26.47,399.37,384.64,12.355,15.342,36.86,45.6,299.6,1799,99.45,"BNZ_Pmar_1"
"8",8,6.74690508940853,0.0618294360385144,385,1.01788170563961,1.66,8.724,0.5,2.25,25.65,25.12,26.08,600.19,578.83,12.589,15.505,38.06,46.65,299.6,1799,99.45,"BNZ_Pmar_1"
"9",9,8.59697386519945,0.0620357634112792,525,1.01100412654746,1.65,8.724,0.5,2.25,25.65,25.17,26.07,799.38,772.06,12.836,15.736,38.8,47.35,299.6,1799,99.45,"BNZ_Pmar_1"
"10",10,10.5226960110041,0.0646492434662999,675,1.03851444291609,1.62,8.724,0.5,2.25,25.41,25.14,25.68,1000.83,967.17,12.975,15.945,39.6,48.67,299.6,1800,99.45,"BNZ_Pmar_1"
"11",11,11.2104539202201,0.0623108665749656,840,0.990371389270976,1.6,8.724,0.5,2.25,25.3,25.16,25.48,1198.99,1163.06,13.342,16.174,41.17,49.7,299.6,1799,99.45,"BNZ_Pmar_1"
"12",12,12.242090784044,0.0625171939477304,1100,0.969738651994498,1.57,8.724,0.5,2.25,25.05,25.12,25.09,1498.99,1459.26,13.658,16.438,42.77,51.26,299.6,1800,99.45,"BNZ_Pmar_1"
"13",13,13.6863823933975,0.0651994497936726,1560,0.997248968363136,1.54,8.724,0.5,2.25,24.92,25.14,24.73,1999.99,1954.54,13.9,16.746,43.67,52.61,299.6,1800,99.45,"BNZ_Pmar_1"
