"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",0.895,0.015,292,0.261,1.71,6,0.5,2.25,23.72,25.15,23.45,399.86,397.87,14.446,14.959,49.11,50.81,300.2,1800,100,"Blandy_Asac_3"
"2",0.699,0.0169,223,0.288,1.68,6,0.5,2.25,23.63,25,23.45,298.56,296.99,14.423,14.991,49.3,51.2,300.2,1800,100,"Blandy_Asac_3"
"3",0.4,0.0193,162,0.325,1.66,6,0.5,2.25,23.61,24.93,23.45,200.98,200.06,14.406,15.046,49.32,51.46,300.2,1800,100,"Blandy_Asac_3"
"4",-0.121,0.0221,106,0.368,1.65,6,0.5,2.25,23.6,24.9,23.46,99.93,100.09,14.415,15.139,49.4,51.81,300.2,1800,100,"Blandy_Asac_3"
"5",-0.396,0.0262,74,0.433,1.63,6,0.5,2.25,23.59,24.89,23.46,50.61,51.35,14.413,15.265,49.4,52.25,300.2,1800,100,"Blandy_Asac_3"
"6",3.6,0.0327,207,0.532,1.61,6,0.5,2.25,23.59,24.88,23.46,400.84,393.22,14.408,15.454,49.37,52.9,300.2,1799,100,"Blandy_Asac_3"
"7",3.75,0.0342,206,0.552,1.6,6,0.5,2.25,23.59,24.87,23.45,399.9,391.97,14.439,15.525,49.5,53.15,300.2,1799,100,"Blandy_Asac_3"
"8",6.3,0.0355,287,0.572,1.6,6,0.5,2.25,23.7,24.88,23.65,599.26,585.99,14.439,15.565,49.13,52.92,300.2,1800,100,"Blandy_Asac_3"
"9",8.02,0.0323,366,0.526,1.61,6,0.5,2.25,23.73,24.91,23.65,800.1,783.24,14.442,15.478,49.04,52.56,300.2,1800,100,"Blandy_Asac_3"
"10",8.93,0.028,446,0.462,1.63,6,0.5,2.25,23.74,24.92,23.65,999.8,981.04,14.42,15.329,48.93,52.02,300.2,1800,100,"Blandy_Asac_3"
"11",9.32,0.0244,542,0.408,1.65,6,0.5,2.25,23.74,24.94,23.65,1200.39,1180.8,14.39,15.193,48.83,51.56,300.2,1800,100,"Blandy_Asac_3"
"12",9.21,0.0198,703,0.336,1.67,6,0.5,2.25,23.74,24.97,23.65,1500.7,1481.31,14.367,15.029,48.73,50.98,300.2,1799,100,"Blandy_Asac_3"
"13",9.29,0.0152,958,0.262,1.69,6,0.5,2.25,23.76,25.04,23.65,2001.09,1981.49,14.437,14.953,48.91,50.66,300.2,1799,100,"Blandy_Asac_3"
