"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",2.3,0.0233,227,0.387,1.63,6,0.5,2.25,23.5,25.14,22.86,399.69,394.77,15.072,15.833,51.68,54.23,300.2,1800,99.52,"Blandy_Iopa_4"
"2",1.43,0.0234,192,0.381,1.6,6,0.5,2.25,23.36,24.96,22.87,300.06,296.97,15.043,15.793,52.01,54.55,300.2,1800,99.52,"Blandy_Iopa_4"
"3",0.627,0.0227,151,0.367,1.59,6,0.5,2.25,23.32,24.88,22.87,201.22,199.82,15.037,15.76,52.12,54.55,300.2,1800,99.52,"Blandy_Iopa_4"
"4",-0.274,0.0241,116,0.391,1.59,6,0.5,2.25,23.54,24.91,23.27,99.84,100.31,14.98,15.75,51.21,53.8,300.2,1800,99.52,"Blandy_Iopa_4"
"5",-0.615,0.0229,93.3,0.376,1.61,6,0.5,2.25,23.59,24.97,23.26,50.8,51.99,14.993,15.732,51.14,53.59,300.2,1800,99.52,"Blandy_Iopa_4"
"6",2.42,0.0233,219,0.385,1.62,6,0.5,2.25,23.6,25.01,23.26,399.56,394.41,14.939,15.696,50.89,53.41,300.2,1800,99.52,"Blandy_Iopa_4"
"7",2.3,0.0228,223,0.377,1.62,6,0.5,2.25,23.61,25,23.26,399.44,394.54,14.935,15.677,50.88,53.34,300.1,1800,99.52,"Blandy_Iopa_4"
"8",3.94,0.0229,301,0.38,1.63,6,0.5,2.25,23.61,25.02,23.26,599.26,590.93,14.893,15.641,50.72,53.21,300.2,1800,99.52,"Blandy_Iopa_4"
"9",5.11,0.0218,394,0.362,1.63,6,0.5,2.25,23.61,25.02,23.26,799.26,788.47,14.868,15.581,50.64,53.01,300.2,1800,99.51,"Blandy_Iopa_4"
"10",6.6,0.022,483,0.367,1.63,6,0.5,2.25,23.6,25.01,23.26,999.89,985.99,14.819,15.541,50.48,52.88,300.2,1800,99.51,"Blandy_Iopa_4"
"11",8.04,0.0227,588,0.379,1.64,6,0.5,2.25,23.61,25.01,23.26,1200.7,1183.73,14.761,15.507,50.21,52.75,300.2,1800,99.51,"Blandy_Iopa_4"
"12",9.77,0.0221,736,0.37,1.64,6,0.5,2.25,23.61,25.02,23.26,1500.89,1480.26,14.738,15.466,50.12,52.6,300.2,1800,99.51,"Blandy_Iopa_4"
"13",12.2,0.022,1040,0.37,1.65,6,0.5,2.25,23.61,25.02,23.26,2001.17,1975.27,14.702,15.43,50.01,52.49,300.2,1800,99.51,"Blandy_Iopa_4"
