"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",5.96,0.054,201,0.746,1.38,6,0.5,2.25,24.09,25.11,23.86,400.22,387.74,16.815,18.279,55.73,60.58,300.2,1799,99.79,"Blandy_Mvir_2"
"2",3.51,0.0483,168,0.669,1.38,6,0.5,2.25,24.01,25.05,23.85,299.53,292.11,16.856,18.17,56.22,60.5,300.2,1799,99.79,"Blandy_Mvir_2"
"3",1.72,0.045,130,0.626,1.38,6,0.5,2.25,24,25.02,23.85,199.4,195.73,16.837,18.065,56.2,60.2,300.2,1799,99.79,"Blandy_Mvir_2"
"4",0.207,0.0445,89.2,0.618,1.38,6,0.5,2.25,23.98,24.99,23.85,99.46,98.93,16.823,18.035,56.19,60.15,300.2,1799,99.79,"Blandy_Mvir_2"
"5",-0.523,0.0469,68.7,0.647,1.37,6,0.5,2.25,23.97,24.97,23.85,50.94,51.92,16.82,18.089,56.22,60.37,300.2,1799,99.8,"Blandy_Mvir_2"
"6",5.54,0.0526,210,0.714,1.35,6,0.5,2.25,23.97,24.94,23.85,400.62,389,16.793,18.194,56.17,60.75,300.2,1800,99.8,"Blandy_Mvir_2"
"7",5.33,0.0518,214,0.705,1.35,6,0.5,2.25,23.96,24.94,23.85,399.76,388.57,16.779,18.163,56.13,60.65,300.2,1799,99.79,"Blandy_Mvir_2"
"8",8.2,0.0499,305,0.687,1.37,6,0.5,2.25,23.97,24.94,23.85,600.05,582.85,16.692,18.041,55.73,60.24,300.2,1799,99.79,"Blandy_Mvir_2"
"9",7.32,0.0298,374,0.433,1.43,6,0.5,2.25,23.98,24.99,23.85,800.49,785.17,16.636,17.486,55.5,58.34,300.2,1799,99.78,"Blandy_Mvir_2"
"10",7.44,0.0229,444,0.34,1.46,6,0.5,2.25,23.98,25.02,23.85,999.75,984.21,16.602,17.271,55.38,57.61,300.2,1799,99.78,"Blandy_Mvir_2"
"11",7.6,0.0191,523,0.287,1.47,6,0.5,2.25,23.98,25.02,23.85,1199.98,1184.11,16.571,17.135,55.28,57.16,300.2,1799,99.79,"Blandy_Mvir_2"
"12",8.2,0.0162,641,0.245,1.48,6,0.5,2.25,23.98,25.01,23.85,1500.81,1483.69,16.532,17.013,55.15,56.76,300.2,1799,99.78,"Blandy_Mvir_2"
"13",9.97,0.0144,835,0.22,1.49,6,0.5,2.25,23.98,25.02,23.85,2000.35,1979.55,16.51,16.942,55.07,56.52,300.2,1799,99.78,"Blandy_Mvir_2"
