"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",12.1,0.175,250,2.09,1.24,6,0.5,2.25,25.28,24.84,25.86,399.85,374.08,15.161,19.26,46.52,59.1,299.6,1800,99.13,"Blandy_Ptre_1"
"2",9.12,0.185,192,2.08,1.17,6,0.5,2.25,23.68,24.45,22.65,299.75,280.32,15.151,19.231,51.1,64.86,299.6,1800,99.13,"Blandy_Ptre_1"
"3",5.66,0.2,135,2.3,1.21,6,0.5,2.25,25.17,24.91,25.42,199.65,187.45,15.192,19.704,47.1,60.8,299.6,1800,99.13,"Blandy_Ptre_1"
"4",1.8,0.234,80.6,2.55,1.16,6,0.5,2.25,25.42,24.85,25.66,99.72,95.62,15.064,20.077,45.79,61.03,299.6,1799,99.13,"Blandy_Ptre_1"
"5",-0.328,0.267,51,2.69,1.09,6,0.5,2.25,24.99,24.57,25.08,49.36,49.75,15.046,20.318,46.94,63.38,299.6,1800,99.12,"Blandy_Ptre_1"
"6",13.9,0.311,284,2.91,1.03,6,0.5,2.25,25.06,24.48,25.84,399.84,369.86,15.006,20.711,46.68,64.41,299.6,1799,99.12,"Blandy_Ptre_1"
"7",14.2,0.317,284,2.97,1.03,6,0.5,2.25,25.18,24.53,25.49,399.82,369.27,14.99,20.807,46.24,64.18,299.6,1799,99.11,"Blandy_Ptre_1"
"8",17.5,0.273,439,2.78,1.11,6,0.5,2.25,24.51,24.82,24.3,599.5,561.23,15.119,20.579,48.79,66.04,299.6,1799,99.11,"Blandy_Ptre_1"
"9",20.8,0.256,599,2.65,1.11,6,0.5,2.25,25.4,24.64,26.29,799.94,754.27,14.967,20.162,45.6,61.42,299.6,1799,99.11,"Blandy_Ptre_1"
"10",22.4,0.209,751,2.28,1.15,6,0.5,2.25,23.9,24.47,23.31,1000.88,951.77,14.965,19.445,49.83,64.75,299.6,1799,99.11,"Blandy_Ptre_1"
"11",21.8,0.172,913,2.07,1.25,6,0.5,2.25,24.59,24.82,24.5,1199.01,1150.57,15.046,19.117,48.26,61.06,299.6,1799,99.11,"Blandy_Ptre_1"
"12",22.8,0.139,1140,1.82,1.34,6,0.5,2.25,25.04,25.02,25.3,1499.77,1448.78,15.021,18.589,46.88,57.8,299.6,1799,99.11,"Blandy_Ptre_1"
"13",23.9,0.123,1580,1.66,1.37,6,0.5,2.25,24.96,24.97,24.9,1999.74,1945.34,14.941,18.196,46.68,56.86,299.6,1799,99.11,"Blandy_Ptre_1"
