"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",16.5,0.297,260,3.06,1.13,6,0.5,2.25,25.09,25.24,25.15,400.18,364.83,15.185,21.191,47.07,65.69,299.6,1799,99.11,"Blandy_Uame_2"
"2",12,0.287,196,2.96,1.12,6,0.5,2.25,24.38,25.16,24.11,299.81,274.21,15.266,21.072,49.59,68.15,299.6,1799,99.11,"Blandy_Uame_2"
"3",7.28,0.28,135,2.81,1.09,6,0.5,2.25,23.71,24.92,23.06,199.54,183.92,15.427,20.945,52.32,70.53,299.6,1799,99.11,"Blandy_Uame_2"
"4",2.63,0.309,77.3,2.96,1.05,6,0.5,2.25,23.7,24.78,23.34,99.81,93.99,15.218,21.03,51.27,70.85,299.6,1799,99.1,"Blandy_Uame_2"
"5",0.108,0.309,48.1,2.96,1.05,6,0.5,2.25,24.2,24.88,24.14,50.03,49.52,15.432,21.239,50.86,69.46,299.6,1799,99.1,"Blandy_Uame_2"
"6",16.5,0.327,268,3.1,1.05,6,0.5,2.25,24.29,24.94,24.11,400.07,364.69,15.328,21.399,50.14,69.56,299.6,1799,99.09,"Blandy_Uame_2"
"7",16.5,0.326,267,3.11,1.05,6,0.5,2.25,24.4,24.98,24.31,399.26,363.88,15.323,21.416,49.8,69.17,299.6,1799,99.09,"Blandy_Uame_2"
"8",23.3,0.282,396,2.92,1.12,6,0.5,2.25,24.59,25.09,24.5,600.59,550.69,15.177,20.912,48.47,66.8,299.6,1800,99.1,"Blandy_Uame_2"
"9",21.7,0.125,450,1.63,1.33,6,0.5,2.25,23.29,24.88,22.8,800.39,754.55,15.2,18.402,52.5,63.58,299.6,1800,99.1,"Blandy_Uame_2"
"10",22.2,0.0895,527,1.25,1.4,6,0.5,2.25,23.36,24.86,22.94,1001.06,954.23,15.2,17.659,52.27,60.73,299.6,1799,99.11,"Blandy_Uame_2"
"11",24.1,0.0743,595,1.07,1.44,6,0.5,2.25,23.35,24.84,22.94,1200.29,1149.54,15.203,17.303,52.33,59.56,299.6,1800,99.1,"Blandy_Uame_2"
"12",26,0.0607,720,0.886,1.45,6,0.5,2.25,23.31,24.74,22.94,1500.73,1446.17,15.207,16.952,52.47,58.49,299.6,1800,99.1,"Blandy_Uame_2"
"13",28.1,0.0477,945,0.729,1.51,6,0.5,2.25,23.58,24.88,23.33,2000.71,1941.5,15.197,16.634,51.58,56.46,299.6,1800,99.11,"Blandy_Uame_2"
