"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",25.9,0.376,190,3.96,1.05,10,0.5,7.2,24.88,25.01,24.82,400.19,309.83,10.13,23.021,31.14,70.77,300.1,1800,97.05,"GR_Abal_1"
"2",17.6,0.341,148,3.7,1.07,10,0.5,7.2,24.8,24.95,24.83,299.29,237.81,10.691,22.736,33.42,70.24,300.1,1800,97.05,"GR_Abal_1"
"3",10,0.31,109,3.52,1.12,10,0.5,7.2,24.82,25.05,24.83,200.35,164.96,11.061,22.526,34.51,69.5,300.1,1800,97.05,"GR_Abal_1"
"4",2.85,0.284,70.9,3.34,1.15,10,0.5,7.2,24.84,25.11,24.83,99.49,89.02,11.466,22.347,35.84,68.87,300.1,1800,97.05,"GR_Abal_1"
"5",-0.387,0.27,52.5,3.25,1.18,10,0.5,7.2,24.73,25.13,24.62,50.45,51.18,11.561,22.164,36.21,68.75,300.1,1800,97.06,"GR_Abal_1"
"6",22.1,0.253,175,3.09,1.19,10,0.5,7.2,24.4,24.97,24.24,401.37,324.35,11.667,21.734,36.9,68.75,300.1,1800,97.06,"GR_Abal_1"
"7",21,0.245,179,3.02,1.2,10,0.5,7.2,24.4,24.97,24.24,398.78,325.51,11.834,21.667,37.77,68.53,300.1,1800,97.06,"GR_Abal_1"
"8",32.2,0.227,246,2.91,1.25,10,0.5,7.2,24.42,25.03,24.24,598.94,486.99,11.921,21.394,37.67,67.61,300.1,1800,97.06,"GR_Abal_1"
"9",41.6,0.204,310,2.73,1.3,10,0.5,7.2,24.44,25.09,24.24,799.39,654.9,12.119,21.022,38.26,66.37,300.1,1800,97.07,"GR_Abal_1"
"10",48.7,0.179,372,2.53,1.36,10,0.5,7.2,24.44,25.12,24.24,998.62,829.3,12.268,20.515,38.71,64.75,300.1,1800,97.07,"GR_Abal_1"
"11",54.7,0.159,430,2.34,1.42,10,0.5,7.2,24.42,25.17,24.06,1198.61,1008.56,12.394,20.046,39.15,63.33,300.1,1800,97.07,"GR_Abal_1"
"12",63.4,0.142,531,2.15,1.45,10,0.5,7.2,24.17,25.05,23.85,1499.01,1278.43,12.545,19.563,40.25,62.77,300.1,1800,97.07,"GR_Abal_1"
"13",72.9,0.129,793,2,1.5,10,0.5,7.2,24.18,25.08,23.85,1999.53,1745.06,12.693,19.243,40.7,61.7,300.1,1800,97.07,"GR_Abal_1"
