"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",9.2,0.146,267,1.63,1.12,6,0.5,2.25,24.33,25.11,24.11,399.33,379.66,18.389,21.575,58.32,68.24,299.6,1799,96.61,"GR_Bpap_4"
"2",6.31,0.132,202,1.5,1.13,6,0.5,2.25,24.01,25.11,23.52,299.91,286.41,18.529,21.464,59.9,69.21,299.6,1799,96.61,"GR_Bpap_4"
"3",3.67,0.137,144,1.52,1.11,6,0.5,2.25,23.96,25.06,23.52,200.04,192.1,18.591,21.567,60.1,69.72,299.6,1799,96.62,"GR_Bpap_4"
"4",0.775,0.143,86.5,1.55,1.08,6,0.5,2.25,23.96,25.03,23.52,99.12,97.26,18.757,21.791,60.82,70.47,299.6,1799,96.62,"GR_Bpap_4"
"5",-0.487,0.158,54.9,1.64,1.04,6,0.5,2.25,23.95,24.97,23.52,49.81,50.62,18.843,22.052,61.14,71.35,299.6,1800,96.62,"GR_Bpap_4"
"6",10.2,0.181,276,1.78,1,6,0.5,2.25,23.95,24.94,23.52,399.67,377.94,18.947,22.44,61.5,72.61,299.6,1800,96.62,"GR_Bpap_4"
"7",10.5,0.189,277,1.83,0.989,6,0.5,2.25,23.95,24.94,23.52,399.73,377.31,18.974,22.564,61.58,73,299.6,1800,96.62,"GR_Bpap_4"
"8",16.8,0.224,426,2.02,0.929,6,0.5,2.25,24,24.8,23.99,600.16,564.18,18.967,22.911,61.22,73.94,299.6,1800,96.61,"GR_Bpap_4"
"9",19.9,0.222,591,2.04,0.95,6,0.5,2.25,24.13,25.01,23.72,800.13,757.24,19.103,23.096,61.37,73.94,299.6,1800,96.61,"GR_Bpap_4"
"10",22.1,0.235,774,2.12,0.938,6,0.5,2.25,24.12,25,23.72,1000.06,951.68,19.054,23.207,61.12,74.32,299.6,1800,96.61,"GR_Bpap_4"
"11",22.4,0.234,965,2.11,0.933,6,0.5,2.25,24.12,25.02,23.72,1198.46,1148.76,19.17,23.289,61.59,74.56,299.6,1800,96.61,"GR_Bpap_4"
"12",22.2,0.234,1260,2.09,0.926,6,0.5,2.25,24.13,25.02,23.72,1498.19,1447.62,19.264,23.359,61.94,74.78,299.6,1800,96.61,"GR_Bpap_4"
"13",22.2,0.238,1750,2.11,0.922,6,0.5,2.25,24.13,25.03,23.72,1996.83,1944.05,19.289,23.424,62.01,74.96,299.6,1799,96.61,"GR_Bpap_4"
