"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",17.1,0.561,298,4.64,0.973,6,0.5,2.25,24.16,24.97,23.5,399.76,362.22,13.625,22.702,44,72.76,299.6,1800,96.92,"GR_Pbal_8"
"2",12.6,0.562,224,4.6,0.964,6,0.5,2.25,24.11,24.93,23.52,299.35,271.69,13.716,22.723,44.41,73.04,299.6,1800,96.92,"GR_Pbal_8"
"3",7.48,0.557,154,4.56,0.963,6,0.5,2.25,24.09,24.92,23.52,199.18,182.54,13.798,22.719,44.75,73.15,299.6,1800,96.93,"GR_Pbal_8"
"4",2.14,0.55,85.5,4.51,0.962,6,0.5,2.25,24.07,24.91,23.52,99.63,94.49,13.88,22.712,45.04,73.18,299.6,1800,96.93,"GR_Pbal_8"
"5",-0.613,0.534,52,4.45,0.972,6,0.5,2.25,24.08,24.95,23.52,49.86,50.64,13.968,22.679,45.32,73.07,299.6,1800,96.93,"GR_Pbal_8"
"6",16.2,0.503,297,4.32,0.991,6,0.5,2.25,24.09,24.98,23.52,400.08,364.39,14.088,22.551,45.66,72.6,299.6,1799,96.93,"GR_Pbal_8"
"7",16.4,0.488,294,4.27,1,6,0.5,2.25,24.09,25.01,23.52,399.4,363.42,14.138,22.487,45.81,72.38,299.6,1799,96.93,"GR_Pbal_8"
"8",22,0.448,450,4.09,1.03,6,0.5,2.25,24.1,25.06,23.52,599.67,551,14.249,22.265,46.13,71.64,299.6,1799,96.93,"GR_Pbal_8"
"9",25.6,0.398,612,3.86,1.08,6,0.5,2.25,24.1,25.11,23.52,800.23,743.19,14.361,21.916,46.48,70.52,299.6,1799,96.93,"GR_Pbal_8"
"10",27.3,0.339,774,3.5,1.12,6,0.5,2.25,24.08,25.12,23.52,996.65,935.4,14.616,21.484,47.53,69.21,299.6,1800,96.94,"GR_Pbal_8"
"11",29,0.301,940,3.27,1.16,6,0.5,2.25,23.97,25.14,23.33,1196.93,1131.47,14.669,21.087,47.98,68.37,299.6,1800,96.93,"GR_Pbal_8"
"12",30.6,0.273,1200,3.08,1.19,6,0.5,2.25,23.81,25.12,23.13,1497.73,1427.6,14.719,20.749,48.57,67.91,299.6,1799,96.93,"GR_Pbal_8"
"13",33.2,0.258,1660,3,1.22,6,0.5,2.25,23.79,25.12,23.13,1999.62,1921.6,14.536,20.418,47.64,66.92,299.6,1800,96.93,"GR_Pbal_8"
