"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",17.5,0.15,158,1.91,1.23,10,0.5,7.2,23.25,25.11,22.04,399.27,353.69,17.217,21.9,58.86,74.55,399.8,1800,97.45,"GR_Pmar_4"
"2",12.2,0.146,128,1.8,1.19,10,0.5,7.2,23.02,24.87,22.08,300.35,268.57,17.422,21.824,60.4,75.34,399.8,1800,97.45,"GR_Pmar_4"
"3",7.02,0.143,99.4,1.76,1.19,10,0.5,7.2,23,24.87,22.08,200.3,181.95,17.626,21.932,61.14,75.77,399.8,1800,97.44,"GR_Pmar_4"
"4",1.21,0.147,80.9,1.78,1.17,10,0.5,7.2,23.01,24.92,22.08,99.48,96.03,17.765,22.13,61.33,76.4,399.8,1800,97.44,"GR_Pmar_4"
"5",-0.0991,0.148,63.1,1.79,1.17,10,0.5,7.2,23.02,25,22.08,63.28,63.25,17.98,22.349,62.06,77.15,399.8,1800,97.44,"GR_Pmar_4"
"6",18.5,0.151,148,1.78,1.14,10,0.5,7.2,22.89,24.91,21.88,400.13,352.29,18.134,22.485,63.08,78.21,399.8,1800,97.44,"GR_Pmar_4"
"7",17.9,0.152,157,1.78,1.13,10,0.5,7.2,22.9,24.92,21.88,400.26,353.95,18.188,22.544,63.24,78.39,399.8,1800,97.44,"GR_Pmar_4"
"8",28.7,0.151,211,1.75,1.12,10,0.5,7.2,22.75,24.89,21.69,601.1,526.93,18.355,22.64,64.38,79.42,399.8,1800,97.44,"GR_Pmar_4"
"9",37.1,0.146,279,1.68,1.11,10,0.5,7.2,22.76,24.92,21.69,797.08,701.4,18.669,22.784,65.7,79.89,399.8,1800,97.44,"GR_Pmar_4"
"10",46.3,0.149,363,1.71,1.11,10,0.5,7.2,22.77,24.95,21.69,1000.39,880.85,18.728,22.896,65.62,80.23,399.8,1800,97.44,"GR_Pmar_4"
"11",53.3,0.146,456,1.68,1.11,10,0.5,7.2,22.79,25,21.69,1200.91,1063.23,18.862,22.974,66.01,80.41,399.8,1800,97.44,"GR_Pmar_4"
"12",60.4,0.142,635,1.63,1.11,10,0.5,7.2,22.67,24.99,21.5,1501.1,1344.45,19.012,22.999,67.04,81.1,399.8,1800,97.43,"GR_Pmar_4"
"13",67.4,0.139,1010,1.58,1.1,10,0.5,7.2,22.53,24.95,21.3,1999.1,1823.35,19.204,23.055,68.25,81.94,399.8,1800,97.43,"GR_Pmar_4"
