"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",11.2,0.168,255,1.83,1.12,6,0.5,2.25,22.26,25.08,21.1,398.53,374.78,17.518,21.107,64.05,76.85,300.2,1799,98.18,"Guelph_Fgra_2"
"2",8.54,0.194,200,1.98,1.06,6,0.5,2.25,22.26,24.89,21.3,298.19,280.02,17.483,21.359,63.88,77.76,300.2,1799,98.17,"Guelph_Fgra_2"
"3",5.16,0.213,144,2.09,1.03,6,0.5,2.25,22.55,24.87,21.92,199.66,188.56,17.566,21.657,63.18,77.51,300.2,1799,98.18,"Guelph_Fgra_2"
"4",1.54,0.236,83.1,2.26,1.01,6,0.5,2.25,22.62,24.92,21.89,99.46,95.95,17.512,21.93,62.65,78.14,300.2,1799,98.18,"Guelph_Fgra_2"
"5",-0.278,0.249,52.8,2.33,0.993,6,0.5,2.25,22.63,24.94,21.89,51.4,51.72,17.596,22.151,62.98,78.86,300.2,1799,98.18,"Guelph_Fgra_2"
"6",12.6,0.273,285,2.47,0.968,6,0.5,2.25,22.64,24.91,21.89,399.23,372.12,17.538,22.357,62.69,79.56,300.2,1799,98.17,"Guelph_Fgra_2"
"7",12.4,0.274,287,2.45,0.96,6,0.5,2.25,22.64,24.91,21.88,398.74,372.17,17.645,22.439,63.13,79.84,300.2,1799,98.17,"Guelph_Fgra_2"
"8",18.1,0.283,439,2.52,0.955,6,0.5,2.25,22.64,24.88,21.88,599.46,560.43,17.511,22.429,62.32,79.83,300.2,1799,98.16,"Guelph_Fgra_2"
"9",21.1,0.261,601,2.4,0.981,6,0.5,2.25,22.64,24.93,21.89,799.6,753.86,17.576,22.271,62.55,79.26,300.2,1799,98.17,"Guelph_Fgra_2"
"10",22.7,0.249,777,2.34,0.997,6,0.5,2.25,22.65,24.98,21.89,999.85,950.12,17.606,22.189,62.61,78.9,300.2,1799,98.17,"Guelph_Fgra_2"
"11",23.4,0.239,960,2.29,1.01,6,0.5,2.25,22.66,25.01,21.88,1200.07,1148.1,17.641,22.111,62.71,78.6,300.2,1799,98.17,"Guelph_Fgra_2"
"12",24.3,0.227,1240,2.22,1.03,6,0.5,2.25,22.66,25.04,21.89,1499.5,1444.61,17.682,22.012,62.82,78.21,300.2,1800,98.17,"Guelph_Fgra_2"
"13",24.7,0.212,1710,2.12,1.05,6,0.5,2.25,22.67,25.09,21.89,2000.23,1942.68,17.72,21.873,62.94,77.69,300.2,1800,98.17,"Guelph_Fgra_2"
