"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",21.5,0.521,267,3.64,0.821,6,0.5,2.25,24.18,25.09,23.91,396.37,350.71,17.106,24.226,55.44,78.51,299.6,1800,98.08,"Guelph_Fnig_1"
"2",16.7,0.438,190,3.37,0.875,6,0.5,2.25,24.19,25.15,23.92,299.34,264.11,17.207,23.789,56.07,77.04,299.6,1800,98.07,"Guelph_Fnig_1"
"3",10.4,0.416,129,3.08,0.838,6,0.5,2.25,22.59,24.61,21.78,199.64,177.76,17.09,23.125,60.96,82.47,299.6,1800,98.07,"Guelph_Fnig_1"
"4",3.61,0.421,75,3.18,0.854,6,0.5,2.25,23.89,24.84,23.73,99.92,92.1,17.191,23.406,56.9,77.15,299.6,1800,98.08,"Guelph_Fnig_1"
"5",0.0635,0.425,48.2,3.25,0.866,6,0.5,2.25,23.98,24.99,23.72,49.58,49.13,17.21,23.565,56.67,77.26,299.6,1800,98.08,"Guelph_Fnig_1"
"6",22.8,0.441,252,3.32,0.859,6,0.5,2.25,24.01,25.04,23.72,400.34,352.39,17.24,23.731,56.68,77.67,299.6,1800,98.08,"Guelph_Fnig_1"
"7",23.2,0.446,251,3.35,0.859,6,0.5,2.25,24.01,25.03,23.72,400.94,352.14,17.167,23.724,56.18,77.63,299.6,1800,98.08,"Guelph_Fnig_1"
"8",31.6,0.419,386,3.24,0.874,6,0.5,2.25,24.01,25.04,23.72,599.8,533.03,17.255,23.582,56.7,77.16,299.6,1800,98.08,"Guelph_Fnig_1"
"9",37.3,0.395,538,3.16,0.898,6,0.5,2.25,24.02,25.07,23.72,800.23,720.99,17.201,23.387,56.26,76.5,299.6,1800,98.08,"Guelph_Fnig_1"
"10",40.6,0.375,704,3.08,0.914,6,0.5,2.25,24.02,25.08,23.72,1000.9,914,17.219,23.25,56.31,76.04,299.6,1800,98.08,"Guelph_Fnig_1"
"11",41.9,0.345,874,2.94,0.936,6,0.5,2.25,24.03,25.1,23.72,1199.29,1108.8,17.317,23.064,56.84,75.41,299.6,1799,98.08,"Guelph_Fnig_1"
"12",44.1,0.328,1140,2.87,0.956,6,0.5,2.25,24.03,25.11,23.72,1500.85,1404.47,17.27,22.886,56.45,74.81,299.6,1799,98.08,"Guelph_Fnig_1"
"13",44.7,0.304,1610,2.74,0.975,6,0.5,2.25,23.9,25.09,23.52,2000.93,1901.03,17.297,22.659,56.98,74.64,299.6,1799,98.08,"Guelph_Fnig_1"
