"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",-0.143,0.00671,425,0.104,1.48,6,0.5,2.25,21.84,25.12,20.38,400.57,400.77,17.472,17.677,64.84,65.59,299.6,1801,97.55,"Guelph_Ltul_3"
"2",-0.459,0.00835,380,0.121,1.38,6,0.5,2.25,21.32,24.63,20.07,299.09,299.93,17.477,17.715,66.98,67.89,299.6,1801,97.56,"Guelph_Ltul_3"
"3",-0.29,0.00935,245,0.141,1.44,6,0.5,2.25,22.18,24.96,21.17,200.25,200.78,17.43,17.708,63.43,64.42,299.6,1800,97.56,"Guelph_Ltul_3"
"4",-0.51,0.00913,187,0.14,1.47,6,0.5,2.25,22.22,25.06,21.17,99.75,100.75,17.376,17.652,63.07,64.04,299.6,1800,97.57,"Guelph_Ltul_3"
"5",-0.0763,0.00919,403,0.142,1.47,6,0.5,2.25,22.09,25.04,20.98,399.57,399.61,17.272,17.551,63.19,64.17,299.6,1800,97.57,"Guelph_Ltul_3"
"6",-0.0465,0.00925,398,0.142,1.47,6,0.5,2.25,22.09,25.01,20.98,399.55,399.53,17.263,17.543,63.17,64.16,299.6,1800,97.57,"Guelph_Ltul_3"
"7",0.402,0.0103,523,0.157,1.47,6,0.5,2.25,22.07,24.99,20.98,601.11,600.12,17.217,17.527,63.05,64.16,299.6,1800,97.57,"Guelph_Ltul_3"
"8",0.847,0.0108,654,0.165,1.46,6,0.5,2.25,22.06,24.95,20.98,800.52,798.56,17.172,17.496,62.95,64.11,299.6,1800,97.57,"Guelph_Ltul_3"
"9",1.27,0.0113,794,0.172,1.46,6,0.5,2.25,22.06,24.94,20.98,1000.63,997.73,17.138,17.477,62.83,64.04,299.6,1800,97.57,"Guelph_Ltul_3"
"10",1.73,0.0111,920,0.169,1.45,6,0.5,2.25,21.93,24.87,20.78,1200.18,1196.32,17.103,17.435,63.19,64.39,299.6,1800,97.57,"Guelph_Ltul_3"
"11",2.38,0.0127,1160,0.194,1.46,6,0.5,2.25,22.04,24.91,20.98,1501.05,1495.69,17.062,17.444,62.6,64,299.6,1800,97.57,"Guelph_Ltul_3"
"12",3.48,0.0127,1510,0.194,1.46,6,0.5,2.25,22.05,24.93,20.98,2001.5,1993.75,17.068,17.451,62.56,63.96,299.6,1800,97.58,"Guelph_Ltul_3"
