"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",21.3,0.607,281,4.27,0.851,6,0.5,2.25,25.08,24.92,24.89,399.91,354.18,15.248,23.59,46.8,72.4,299.6,1800,98.08,"Guelph_Ptre_1"
"2",16,0.602,210,4.17,0.837,6,0.5,2.25,25.14,24.85,25.08,300.08,265.86,15.442,23.596,47.52,72.18,299.6,1800,98.09,"Guelph_Ptre_1"
"3",9.97,0.595,144,4.16,0.842,6,0.5,2.25,25.28,24.9,25.28,200.59,179.13,15.524,23.65,47.38,71.75,299.6,1800,98.08,"Guelph_Ptre_1"
"4",3.4,0.593,79.1,4.14,0.841,6,0.5,2.25,25.29,24.92,25.28,99.12,91.55,15.605,23.693,47.59,71.84,299.6,1800,98.08,"Guelph_Ptre_1"
"5",0.352,0.591,50.7,4.13,0.841,6,0.5,2.25,25.29,24.94,25.28,53.71,52.57,15.662,23.736,47.49,71.96,299.6,1800,98.08,"Guelph_Ptre_1"
"6",20.8,0.574,281,4.03,0.841,6,0.5,2.25,25.29,24.93,25.28,400.77,356.19,15.823,23.711,48.25,71.89,299.6,1800,98.08,"Guelph_Ptre_1"
"7",21,0.572,278,4.02,0.84,6,0.5,2.25,25.29,24.93,25.28,399.07,354.13,15.857,23.715,48.35,71.9,299.6,1800,98.08,"Guelph_Ptre_1"
"8",29.7,0.565,428,3.99,0.842,6,0.5,2.25,25.29,24.93,25.28,600.81,537.07,15.902,23.701,48.48,71.86,299.6,1799,98.08,"Guelph_Ptre_1"
"9",35.3,0.559,592,3.98,0.847,6,0.5,2.25,25.29,24.93,25.28,800.08,723.67,15.884,23.659,48.15,71.72,299.6,1799,98.07,"Guelph_Ptre_1"
"10",39.2,0.54,762,3.98,0.87,6,0.5,2.25,25.55,25.08,25.68,999.33,913.61,15.933,23.708,47.56,70.76,299.6,1799,98.07,"Guelph_Ptre_1"
"11",40.6,0.524,946,3.86,0.866,6,0.5,2.25,25.32,25.01,25.28,1199.48,1109.51,16.068,23.621,48.87,71.46,299.6,1799,98.07,"Guelph_Ptre_1"
"12",41,0.499,1230,3.72,0.868,6,0.5,2.25,25.32,25.01,25.28,1497.27,1404.77,16.311,23.583,49.8,71.36,299.6,1799,98.07,"Guelph_Ptre_1"
"13",44,0.513,1710,3.83,0.873,6,0.5,2.25,25.33,25.02,25.28,1999.04,1896.29,16.076,23.557,48.63,71.25,299.6,1799,98.07,"Guelph_Ptre_1"
