"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",4.41661971,0.055046222,243.5348659,1.611793148,2.823054172,6,0.5,2.25,37.33447647,37.89296341,38.67549133,399.8255615,389.744751,35.11993408,38.21761703,54.32336044,59.11484528,300.2620239,1800.007446,99.31821442,"Horizontes_Aadi_1"
"2",2.573066319,0.052079439,201.6162986,1.526761911,2.823233242,6,0.5,2.25,37.36145401,37.85860825,37.88728333,300.128479,294.0896301,35.15657806,38.09121704,54.30097961,58.83366776,300.26297,1799.234131,99.31959534,"Horizontes_Aadi_1"
"3",1.029455422,0.041155924,147.9346574,1.270238778,2.95732995,6,0.5,2.25,35.44970703,38.12152481,33.90756989,199.7972717,197.2394104,35.25307083,37.69574738,60.46579742,64.65545654,300.2500305,1798.950317,99.31933594,"Horizontes_Aadi_1"
"4",-0.355222478,0.047649489,107.7598239,1.385284338,2.794865372,6,0.5,2.25,35.85270309,37.76626968,35.72242737,100.1168594,100.5483475,35.38254929,38.04536057,59.35337067,63.82017136,300.2647705,1799.543091,99.3170166,"Horizontes_Aadi_1"
"5",-0.922311865,0.044950843,88.68694122,1.306094943,2.790345629,6,0.5,2.25,35.28787994,37.7267189,34.54974747,57.09320831,58.78273392,35.43841934,37.9491806,61.32751465,65.67248535,300.2745972,1800.765991,99.31629181,"Horizontes_Aadi_1"
"6",3.811146971,0.046835228,243.2397231,1.377804822,2.826813062,6,0.5,2.25,36.57358551,37.81856537,36.79652786,399.6414185,390.9492493,35.26556396,37.91443253,56.85797119,61.128685,300.2563782,1801.416626,99.31013489,"Horizontes_Aadi_1"
"7",3.71586779,0.045193534,242.3361527,1.350747814,2.8695637,6,0.5,2.25,36.75617981,37.90605545,36.94034576,400.0526733,391.570343,35.20319366,37.80035782,56.19227219,60.3379364,300.2557373,1800.413696,99.3085022,"Horizontes_Aadi_1"
"8",5.815532566,0.042039632,338.9071899,1.289003375,2.939382846,6,0.5,2.25,36.55654144,38.03999329,36.54974747,599.9868774,586.8550415,35.10428238,37.58310699,56.65008163,60.65032578,300.2774658,1798.99707,99.30891418,"Horizontes_Aadi_1"
"9",7.346327067,0.036943566,429.5664369,1.172840748,3.03626931,6,0.5,2.25,36.26273346,38.20718384,35.57683182,799.9603882,783.4443359,34.96181488,37.21823883,57.3364563,61.03693008,300.2599792,1800.066528,99.30937958,"Horizontes_Aadi_1"
"10",9.081431887,0.036511909,538.4749216,1.12109038,2.93842201,6,0.5,2.25,36.20051193,37.84660721,36.26051331,1000.118713,979.7770996,34.73643112,36.89397049,57.15856934,60.70878601,300.2667542,1800.795044,99.30391693,"Horizontes_Aadi_1"
"11",10.28905845,0.035696526,662.9061772,1.113973892,2.985396382,6,0.5,2.25,36.69940567,37.90475464,36.84763336,1200.085571,1176.905884,34.48750687,36.63194275,55.21702576,58.65042114,300.2655029,1800.565063,99.30123138,"Horizontes_Aadi_1"
"12",12.03967809,0.034094344,841.2399078,1.076961137,3.019961109,6,0.5,2.25,36.71177292,37.91551208,36.86230469,1500.038574,1472.811157,34.25106049,36.32489395,54.79818344,58.11610413,300.2673035,1800.425171,99.29545593,"Horizontes_Aadi_1"
"13",13.66091478,0.032195369,1199.751245,1.026130314,3.0456901,6,0.5,2.25,36.68902206,37.84880829,36.86164093,2000.083374,1968.749023,33.84899521,35.82597351,54.22052383,57.38731766,300.2667847,1801.03833,99.292099,"Horizontes_Aadi_1"
