"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1.046038377,0.085955932,358.6183437,2.403442175,2.752526706,6,0.5,2.25,36.04278564,35.11011505,37.5327301,400.1572266,396.1624451,24.89960289,29.56251335,41.25411224,48.979702,300.1203308,1798.977661,99.12481689,"Horizontes_Agav_3"
"2",0.419387625,0.072785662,274.18717,2.189591928,2.943851645,6,0.5,2.25,36.23103333,35.50566864,37.46456909,299.9507141,297.8087158,24.64728546,28.89806175,40.41757584,47.38816452,300.1311035,1798.790527,99.1286087,"Horizontes_Agav_3"
"3",-0.100780774,0.0583225,192.1710561,1.835976032,3.062671706,6,0.5,2.25,36.2461586,35.58713913,37.47914886,199.9561615,199.4256744,24.39367867,27.96139145,39.97126389,45.81729126,300.1317139,1799.916626,99.13545227,"Horizontes_Agav_3"
"4",-0.525144606,0.051656167,111.8521884,1.644946141,3.090779361,6,0.5,2.25,36.19805145,35.48989105,37.51152039,100.0718231,100.7902069,24.16345787,27.36192322,39.70026779,44.95530701,300.1321716,1799.292358,99.13932037,"Horizontes_Agav_3"
"5",-0.729296152,0.043674855,65.00362549,1.442600031,3.195943554,6,0.5,2.25,36.14102936,35.57853317,37.32679367,39.34077835,40.68134689,23.77836037,26.585495,39.19389725,43.82089996,300.1454468,1799.749878,99.14899445,"Horizontes_Agav_3"
"6",1.596701492,0.042001528,314.8754812,1.389139537,3.198852617,6,0.5,2.25,36.11848831,35.50248718,37.32548523,400.0668945,395.7757568,23.60432243,26.30834961,38.95759201,43.42042923,300.1286926,1799.340088,99.15499115,"Horizontes_Agav_3"
"7",1.641969977,0.041439042,312.301559,1.378185159,3.2158302,6,0.5,2.25,36.12951279,35.53468323,37.33000565,400.2106934,395.8375549,23.55854988,26.24143791,38.85823059,43.28347015,300.1287231,1799.171875,99.15428925,"Horizontes_Agav_3"
"8",3.029224704,0.038597776,436.602772,1.309025303,3.274986554,6,0.5,2.25,36.00165176,35.64525223,37.02121735,599.9517822,592.3452759,23.4548912,26.0039463,38.95958328,43.19367218,300.1077881,1799.873413,99.15315247,"Horizontes_Agav_3"
"9",4.356909896,0.036402803,558.0179005,1.235420684,3.274470333,6,0.5,2.25,35.84554672,35.59058762,36.83281326,799.9128418,789.2537231,23.42703819,25.83296204,39.24670792,43.27728653,300.1357117,1799.052002,99.14759827,"Horizontes_Agav_3"
"10",5.377348992,0.031805565,667.9418687,1.077718295,3.264031249,6,0.5,2.25,35.84485626,35.45765686,36.93571854,1000.011047,987.135498,23.40918541,25.50852203,39.21778488,42.73483276,300.1597595,1800.381226,99.14631653,"Horizontes_Agav_3"
"11",6.327362822,0.025846756,736.4992368,0.8857683,3.293687877,6,0.5,2.25,35.91023254,35.41687012,37.02664948,1199.988403,1185.241333,23.35039139,25.07664299,38.98091125,41.8626976,300.1495972,1801.050171,99.15166473,"Horizontes_Agav_3"
"12",8.039479364,0.021254103,807.3795612,0.737432042,3.328994707,6,0.5,2.25,35.50709534,35.42181015,36.45769882,1499.785278,1481.530029,23.29497337,24.73266983,39.76786423,42.22222137,300.144043,1800.455566,99.1668396,"Horizontes_Agav_3"
"13",9.97381839,0.01830618,1014.97353,0.645047249,3.377702852,6,0.5,2.25,35.5170517,35.47013092,36.92000961,2000.218994,1977.729736,23.13282585,24.39090347,39.47957611,41.62667084,300.1312256,1799.980103,99.19247437,"Horizontes_Agav_3"
