"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",8.991797976,0.125469591,249.653878,2.508138148,2.028526758,6,0.5,2.25,27.07489204,29.69827843,26.53796577,400.2302551,380.3492126,16.83613968,21.74077034,46.50046921,60.04678345,300.1582947,1799.499023,99.29003906,"Horizontes_Cins_1"
"2",5.205869627,0.096659823,190.6418144,2.018076585,2.093990711,6,0.5,2.25,26.71968842,29.64504623,26.26358795,299.8468933,288.2772217,17.00229836,20.95197487,47.95107269,59.09022522,300.1451721,1799.540039,99.29201508,"Horizontes_Cins_1"
"3",2.927016818,0.090861945,134.3747671,1.906423784,2.099492742,6,0.5,2.25,26.5512352,29.59449577,26.29079819,199.9793091,193.3910828,17.04244423,20.77428246,48.54359818,59.17334747,300.1447144,1799.189087,99.2922287,"Horizontes_Cins_1"
"4",0.916600415,0.108924171,80.62573836,2.150444972,1.990516404,6,0.5,2.25,26.50910568,29.42012596,26.29242706,99.83087158,97.57914734,17.24585724,21.45232773,49.2456398,61.25723648,300.153717,1798.733643,99.29325104,"Horizontes_Cins_1"
"5",0.868649014,0.162636545,75.7567131,2.852173538,1.80699941,6,0.5,2.25,27.26339912,29.36281967,27.4295845,89.49378204,87.25991821,17.59362602,23.16286469,48.06127548,63.27500916,300.1604919,1799.143433,99.29627991,"Horizontes_Cins_1"
"6",11.20267033,0.193309019,267.3349377,3.234492222,1.744707896,6,0.5,2.25,27.6592865,29.51934242,27.77837372,400.9526367,376.1264038,17.85621262,24.16575241,47.6603775,64.50130463,300.1481934,1799.531006,99.29434204,"Horizontes_Cins_1"
"7",10.95718396,0.192786859,268.6646864,3.233943518,1.748571669,6,0.5,2.25,27.68325233,29.5696106,27.77555084,399.8845215,375.5531006,17.94008255,24.24802971,47.81702805,64.63006592,300.1477356,1799.362061,99.29393768,"Horizontes_Cins_1"
"8",14.88886932,0.191350889,418.8112754,3.201404607,1.74265274,6,0.5,2.25,27.62567329,29.6125927,27.62011719,599.9092407,566.5202026,18.16858292,24.4120903,48.58798218,65.28490448,300.1439514,1798.789063,99.29122162,"Horizontes_Cins_1"
"9",16.72050225,0.184381945,587.1752083,3.11701194,1.75573449,6,0.5,2.25,27.60705757,29.67111778,27.53772163,800.1429443,761.9770508,18.34352684,24.42127991,49.11072922,65.38256073,300.198822,1799.396484,99.29421234,"Horizontes_Cins_1"
"10",17.57432613,0.175128474,763.1240997,2.980254676,1.76121052,6,0.5,2.25,27.35613823,29.57836342,27.26618004,1000.24884,959.3999634,18.3268795,24.14089394,49.79382706,65.59040833,300.1343079,1798.651367,99.29790497,"Horizontes_Cins_1"
"11",17.85634601,0.163770349,941.617382,2.825326184,1.777342306,6,0.5,2.25,27.33302307,29.58428955,27.26698685,1199.956177,1157.722046,18.47861671,23.99103546,50.27769089,65.27619934,300.1452332,1799.464233,99.3049469,"Horizontes_Cins_1"
"12",18.39505832,0.150382133,1208.633255,2.656129213,1.809650317,6,0.5,2.25,27.28766632,29.66082382,27.10920334,1499.847412,1455.345459,18.6658783,23.84919167,50.92572021,65.06723785,300.1303406,1799.147217,99.31148529,"Horizontes_Cins_1"
"13",18.97434319,0.138723074,1667.709292,2.468012669,1.81428992,6,0.5,2.25,27.12745285,29.603899,26.99508858,1999.917114,1952.351685,18.84713364,23.66431427,51.90660095,65.17352295,300.1268616,1798.770264,99.31337738,"Horizontes_Cins_1"
