"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",3.000878683,0.040058508,251.936319,1.457608344,3.520244126,6,0.5,2.25,32.93365479,36.01183701,32.45420837,399.8153076,392.6737366,21.86468506,24.70592308,43.12067413,48.72405243,300.2064819,1799.486816,99.26485443,"Horizontes_Codo_1"
"2",1.730723001,0.025379941,170.8374835,0.995427272,3.768134199,6,0.5,2.25,31.96227455,36.51689148,30.64523506,299.8291931,295.7818298,21.95900536,23.90086555,45.74354172,49.78869629,300.2180176,1798.807373,99.2591629,"Horizontes_Codo_1"
"3",0.768813238,0.021504671,130.4214073,0.824232993,3.678516211,6,0.5,2.25,31.13181114,36.18188477,29.94899178,200.1146393,198.2515106,22.0702095,23.67851257,48.19350052,51.70546341,300.2107239,1800.459717,99.25528717,"Horizontes_Codo_1"
"4",-0.287774545,0.020057427,116.9846099,0.751406484,3.594746072,6,0.5,2.25,31.16015434,35.92509079,30.35163307,99.99436951,100.4186935,22.20542908,23.67158127,48.41005707,51.60641098,300.2223816,1801.220703,99.25424957,"Horizontes_Codo_1"
"5",-0.505683269,0.020242464,95.04401141,0.743765186,3.526565187,6,0.5,2.25,31.29394722,35.77144623,30.79493141,58.41654205,59.33893967,22.40312576,23.85407066,48.47078323,51.61000443,300.2278137,1800.084595,99.25482941,"Horizontes_Codo_1"
"6",2.875272377,0.021103577,157.6341157,0.780562583,3.550313184,6,0.5,2.25,31.46049309,35.88611603,30.84684753,400.1876221,393.8266602,22.46889687,23.99151611,48.15353012,51.41668701,300.2073059,1799.587524,99.2519989,"Horizontes_Codo_1"
"7",2.68918101,0.021121815,171.6955602,0.784968367,3.566934971,6,0.5,2.25,31.48717308,35.94718933,30.8474369,399.9877014,393.9950867,22.49356651,24.02468872,48.13433075,51.41080475,300.2149963,1799.204956,99.25396729,"Horizontes_Codo_1"
"8",4.2478345,0.020144401,226.3299038,0.745952892,3.553096345,6,0.5,2.25,31.50782013,35.88608932,30.99721527,600.0666504,590.6964722,22.50764656,23.9627533,48.10832214,51.21849823,300.2162476,1800.119263,99.25462341,"Horizontes_Codo_1"
"9",5.447237833,0.018056041,269.6001722,0.684503765,3.633214759,6,0.5,2.25,31.53553963,36.09473801,30.47817802,799.8703003,787.9053955,22.50871086,23.84415817,48.03672028,50.88674927,300.2060852,1799.441895,99.25837708,"Horizontes_Codo_1"
"10",6.077135801,0.015719111,324.4028458,0.596397112,3.632952087,6,0.5,2.25,31.25301552,36.06066132,30.38281059,1000.031982,986.710022,22.56945419,23.73313141,48.94749069,51.47121429,300.208374,1799.235718,99.26087189,"Horizontes_Codo_1"
"11",6.49694352,0.017702935,543.9849126,0.636208464,3.447540528,6,0.5,2.25,34.17416763,35.49783325,35.52524185,1199.678589,1185.187134,22.51795578,23.75924301,41.43009567,43.71390152,300.217041,1800.336182,99.26348114,"Horizontes_Codo_1"
"12",5.775158364,0.016944355,877.5980738,0.54175558,3.072552713,6,0.5,2.25,34.55339432,34.24050522,34.15508652,1500.47583,1487.324097,22.54306984,23.60019684,40.60899734,42.51330185,300.2307434,1798.894165,99.26000214,"Horizontes_Codo_1"
"13",5.79621764,0.015106539,1281.137473,0.500865223,3.182305827,6,0.5,2.25,35.10838318,34.5565834,34.60575104,1999.290283,1985.719238,22.48431778,23.46178627,39.27622604,40.98369217,300.2331238,1799.123047,99.26103973,"Horizontes_Codo_1"
