"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",0.321537122,0.02648754,357.9996766,0.844389182,3.085197828,6,0.5,2.25,30.70411682,33.73578262,29.38954353,398.3814087,397.0687561,20.28220177,21.93270493,45.4379921,49.1355896,300.2246094,1800.383301,99.37530518,"Horizontes_Mtin_1"
"2",0.603952548,0.021341498,239.0803146,0.677393132,3.066509506,6,0.5,2.25,30.37016869,33.52923203,29.39965248,300.0993652,298.4882507,20.18771935,21.51239204,46.09843445,49.12330627,300.2194214,1800.494995,99.37469482,"Horizontes_Mtin_1"
"3",0.130647781,0.019785228,179.0111554,0.625198165,3.051327866,6,0.5,2.25,30.37704849,33.43011093,29.63607216,199.8013763,199.2912445,20.15320206,21.37601471,45.9999733,48.7910614,300.2098083,1801.301392,99.37143707,"Horizontes_Mtin_1"
"4",-0.662527709,0.019144769,150.6552188,0.612001822,3.087215006,6,0.5,2.25,30.36518097,33.36201859,29.59759331,100.1739883,101.3741608,19.61865807,20.81638336,44.81070328,47.54641342,300.2001343,1800.66333,99.37228394,"Horizontes_Mtin_1"
"5",-0.511994324,0.017449443,131.8239591,0.564367167,3.120726605,6,0.5,2.25,30.37841225,33.46474075,29.59906197,89.43118286,90.35253143,19.6743145,20.77880859,44.90326691,47.42408371,300.213623,1799.621338,99.37113953,"Horizontes_Mtin_1"
"6",0.83652242,0.016358581,297.4208386,0.53774082,3.170319167,6,0.5,2.25,30.39522934,33.54244995,29.5984745,400.2544861,398.1546631,19.45458603,20.50729561,44.35893631,46.75924683,300.2042847,1799.083862,99.37094116,"Horizontes_Mtin_1"
"7",0.605804068,0.014262192,311.4229596,0.47222486,3.190356924,6,0.5,2.25,30.40074921,33.57350159,29.60004616,400.2518921,398.6648254,19.47229385,20.39686203,44.38514328,46.4926033,300.2004395,1799.270752,99.37064362,"Horizontes_Mtin_1"
"8",1.185073397,0.013068771,424.0532523,0.431422542,3.179455267,6,0.5,2.25,30.31967926,33.51755142,29.51356506,599.8442383,596.9609375,19.49825859,20.34298515,44.6499939,46.58437347,300.2008972,1799.862549,99.36791992,"Horizontes_Mtin_1"
"9",1.734820283,0.011720949,523.1442736,0.384928358,3.161764754,6,0.5,2.25,30.14205551,33.42184448,29.36732483,799.9042358,795.824585,19.48745918,20.24124146,45.08215714,46.82595062,300.1956482,1800.261597,99.36804199,"Horizontes_Mtin_1"
"10",2.031098066,0.011013162,654.8001931,0.365464737,3.193337589,6,0.5,2.25,30.25803185,33.50847626,29.44288635,999.8869019,995.1005859,19.46198654,20.17768478,44.72249603,46.36713028,300.2023621,1799.107666,99.36305237,"Horizontes_Mtin_1"
"11",2.392869589,0.010244418,766.8123381,0.339249558,3.185586524,6,0.5,2.25,30.24903297,33.48521423,29.44136047,1199.73938,1194.147095,19.52410889,20.18847275,44.88647461,46.41386414,300.1975098,1799.855103,99.35877991,"Horizontes_Mtin_1"
"12",2.723549601,0.009786575,981.7894368,0.322499839,3.169059235,6,0.5,2.25,30.24257278,33.46269226,29.44511032,1500.643311,1494.236572,19.65880966,20.29031372,45.20988083,46.66217041,300.1940002,1799.472168,99.35215759,"Horizontes_Mtin_1"
"13",3.564496089,0.00940392,1295.792054,0.3107907,3.177590759,6,0.5,2.25,30.24323463,33.48025131,29.44475174,2000.022095,1991.661133,19.6479187,20.25647163,45.18157578,46.58098602,300.2156372,1799.882324,99.34876251,"Horizontes_Mtin_1"
