"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",5.376817596,0.066786246,245.3797063,1.365122008,2.0214212,6,0.5,2.25,30.28147697,30.89434433,30.73617744,399.8958435,388.0879822,22.08650208,24.74797249,50.76398087,56.88114166,300.1358948,1799.87854,99.51727295,"Horizontes_Sgla_3"
"2",4.107922284,0.072940836,191.5523185,1.280518459,1.743637317,6,0.5,2.25,29.17658615,29.71415138,29.65655327,300.0632629,291.1304626,22.10119247,24.59126663,54.13524628,60.23450089,300.961853,1799.270142,99.52146912,"Horizontes_Sgla_3"
"3",2.259164779,0.065884419,133.6954025,1.225567769,1.841251942,6,0.5,2.25,28.90407181,30.07746315,29.97746849,199.9281769,194.947998,22.11474419,24.49817657,55.03132248,60.96236801,300.963501,1798.695068,99.52541351,"Horizontes_Sgla_3"
"4",0.336716591,0.063709583,87.71333033,1.15277208,1.790096182,6,0.5,2.25,29.15975189,29.81603241,29.7165451,100.0440598,99.14505768,22.12843895,24.37027931,54.25864792,59.75561142,301.0059204,1799.506958,99.52862549,"Horizontes_Sgla_3"
"5",-0.531778681,0.033916506,72.45917436,0.776687785,2.233017633,6,0.5,2.25,27.05768776,31.30984116,25.55008698,48.32477188,49.30847168,22.1844883,23.69604111,61.48791504,65.67742157,300.9951172,1798.989502,99.53883362,"Horizontes_Sgla_3"
"6",4.770749338,0.033322032,149.3887074,0.661578154,1.93897269,6,0.5,2.25,26.16601372,30.06385994,25.90839386,400.067627,390.0437927,22.19094086,23.47869492,64.82500458,68.58683777,301.0101929,1799.71582,99.54257202,"Horizontes_Sgla_3"
"7",4.639611072,0.036317509,173.8775963,0.732849125,1.97257423,6,0.5,2.25,27.15217018,30.28242111,27.28827667,400.1575012,390.3388977,22.2563076,23.68253899,61.34970093,65.2811203,301.0002747,1799.58667,99.54503632,"Horizontes_Sgla_3"
"8",7.035003112,0.033752227,233.6593644,0.704837281,2.038418555,6,0.5,2.25,27.18555832,30.54787636,26.95473862,600.1342773,585.2893677,22.31515312,23.68680191,61.3929863,65.16663361,301.0137634,1799.193726,99.54735565,"Horizontes_Sgla_3"
"9",9.216103982,0.032726231,306.0372186,0.685459539,2.043629002,6,0.5,2.25,27.17950439,30.56371689,26.95515442,800.1002197,780.6640015,22.34001541,23.67393494,61.48467255,65.15591431,301.0220642,1799.431885,99.54972076,"Horizontes_Sgla_3"
"10",10.24126481,0.03141141,426.6231163,0.6586111,2.044661118,6,0.5,2.25,27.17203903,30.56054497,26.95620155,1000.064331,978.3659668,22.37338066,23.65513802,61.60453415,65.13381958,301.007782,1799.57251,99.55144501,"Horizontes_Sgla_3"
"11",11.19786814,0.030835556,558.6263774,0.650312949,2.055952826,6,0.5,2.25,27.30754662,30.61028862,27.15277863,1199.937256,1176.092529,22.40187073,23.66743279,61.19536591,64.6525116,301.0148926,1799.197754,99.55223083,"Horizontes_Sgla_3"
"12",12.35838803,0.028663058,738.2419671,0.606653548,2.061425287,6,0.5,2.25,27.21152115,30.60860634,26.99335289,1499.896606,1473.481567,22.42719841,23.60786057,61.61126328,64.85473633,301.0167236,1799.110596,99.55365753,"Horizontes_Sgla_3"
"13",13.29546079,0.026418186,1105.464324,0.555251487,2.045363208,6,0.5,2.25,26.95523262,30.53117371,26.64653015,1999.721191,1971.039673,22.49218559,23.57280922,62.72780609,65.74152374,301.0276489,1798.603882,99.55600739,"Horizontes_Sgla_3"
