"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",7.86,0.103,249,1.36,1.32,6,0.5,2.25,22.98,25.19,22.18,399.91,383.14,16.597,19.261,57.91,67.18,299.6,1800,98.26,"KBS_Asac_1"
"2",7.61,0.148,193,1.74,1.2,6,0.5,2.25,23.01,25.03,22.14,300.04,283.82,16.824,20.24,58.59,70.49,299.6,1799,98.26,"KBS_Asac_1"
"3",4.58,0.157,137,1.77,1.15,6,0.5,2.25,22.99,24.96,22.31,199.4,189.55,17.094,20.568,59.86,71.72,299.6,1800,98.26,"KBS_Asac_1"
"4",1.4,0.168,80.3,1.83,1.12,6,0.5,2.25,23.11,24.88,22.35,99.2,96.06,17.179,20.767,59.73,71.89,299.6,1800,98.26,"KBS_Asac_1"
"5",-0.26,0.178,51.4,1.87,1.09,6,0.5,2.25,22.8,24.81,21.95,49.51,49.85,17.261,20.931,61.17,73.85,299.6,1800,98.27,"KBS_Asac_1"
"6",10.9,0.16,256,1.76,1.13,6,0.5,2.25,23.29,24.87,22.11,400.5,377.41,17.186,20.633,58.82,70.64,299.6,1799,98.28,"KBS_Asac_1"
"7",10.1,0.134,247,1.55,1.18,6,0.5,2.25,22.97,24.95,21.72,400.4,379.06,17.244,20.294,60.17,70.83,299.6,1799,98.28,"KBS_Asac_1"
"8",14.7,0.115,346,1.33,1.17,6,0.5,2.25,22.29,24.75,20.62,600.07,569.14,17.389,19.998,63.39,72.73,299.6,1799,98.29,"KBS_Asac_1"
"9",19.7,0.118,469,1.41,1.2,6,0.5,2.25,23.08,25,22.87,800.12,758.62,17.375,20.142,60.34,69.93,299.6,1799,98.29,"KBS_Asac_1"
"10",23.5,0.111,583,1.36,1.23,6,0.5,2.25,23.26,25.11,22.54,1000.77,951.06,17.4,20.068,59.71,68.86,299.6,1799,98.29,"KBS_Asac_1"
"11",26,0.102,702,1.26,1.23,6,0.5,2.25,23.01,25.07,22.15,1198.43,1143.56,17.475,19.942,61.03,69.49,299.6,1800,98.29,"KBS_Asac_1"
"12",28.9,0.0996,933,1.21,1.22,6,0.5,2.25,23.08,24.92,22.31,1500.84,1439.39,17.422,19.804,60.44,68.71,299.6,1800,98.29,"KBS_Asac_1"
"13",31,0.0894,1330,1.08,1.2,6,0.5,2.25,22.56,24.72,21.76,1999.98,1933.64,17.471,19.589,62.56,70.15,299.6,1799,98.3,"KBS_Asac_1"
