"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",26.5,0.931,274,7.94,1.15,6,0.5,2.25,24.65,25.19,24.41,399.42,340.97,5.576,21.114,18.03,66.35,300.2,1799,97.89,"KBS_Gmax_4"
"2",20,0.913,204,7.82,1.15,6,0.5,2.25,24.26,25.14,23.84,299.03,255.06,5.738,21.041,19.18,67.71,300.2,1799,97.88,"KBS_Gmax_4"
"3",12.6,0.922,140,7.88,1.15,6,0.5,2.25,24.2,25.11,23.84,200.68,172.7,5.582,20.994,18.54,67.79,300.2,1800,97.87,"KBS_Gmax_4"
"4",3.97,0.917,79.2,7.86,1.15,6,0.5,2.25,24.19,25.11,23.84,99.46,90.11,5.583,20.963,18.55,67.74,300.2,1799,97.86,"KBS_Gmax_4"
"5",-0.19,0.917,50.2,7.85,1.15,6,0.5,2.25,24.17,25.1,23.84,51.11,50.69,5.589,20.955,18.59,67.76,300.2,1799,97.86,"KBS_Gmax_4"
"6",25.9,0.911,277,7.79,1.14,6,0.5,2.25,24.17,25.01,23.84,400.46,343.44,5.593,20.833,18.6,67.38,300.2,1799,97.87,"KBS_Gmax_4"
"7",26.2,0.912,274,7.83,1.15,6,0.5,2.25,24.18,25.03,23.84,399.27,341.58,5.503,20.82,18.11,67.31,300.2,1800,97.86,"KBS_Gmax_4"
"8",33.8,0.892,434,7.79,1.16,6,0.5,2.25,24.19,25.03,23.84,599.76,523.97,5.446,20.69,17.6,66.85,300.2,1799,97.85,"KBS_Gmax_4"
"9",36.3,0.848,613,7.66,1.18,6,0.5,2.25,24.19,25.03,23.84,799.85,716.32,5.455,20.449,17.62,66.07,300.2,1799,97.85,"KBS_Gmax_4"
"10",37.1,0.794,799,7.48,1.21,6,0.5,2.25,24.18,25.01,23.84,1000.76,913.02,5.466,20.111,17.66,64.98,300.2,1800,97.84,"KBS_Gmax_4"
"11",37.9,0.726,980,7.26,1.26,6,0.5,2.25,24.19,25.05,23.84,1200.19,1108.33,5.48,19.708,17.7,63.67,300.2,1800,97.85,"KBS_Gmax_4"
"12",39.4,0.633,1250,6.94,1.34,6,0.5,2.25,24.21,25.15,23.84,1500.64,1402.49,5.499,19.106,17.74,61.65,300.2,1799,97.84,"KBS_Gmax_4"
"13",40.8,0.536,1710,6.45,1.42,6,0.5,2.25,23.56,25.12,22.86,2000.25,1894.29,5.515,18.182,18.5,61,300.2,1800,97.86,"KBS_Gmax_4"
