"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",18.6,0.141,132,1.98,1.42,6,0.5,2.25,24.46,24.91,25.02,399.35,360.75,14.024,17.907,44.53,56.61,300.2,1799,97.33,"KBS_Pvir_2"
"2",14.8,0.145,91.6,2,1.39,6,0.5,2.25,24.46,24.89,25.01,299.24,268.49,14.23,18.154,45.23,57.37,300.2,1799,97.34,"KBS_Pvir_2"
"3",10.5,0.156,61.2,2.09,1.36,6,0.5,2.25,24.46,24.87,25.01,199.67,178.01,14.291,18.395,45.38,58.15,300.2,1800,97.34,"KBS_Pvir_2"
"4",5.19,0.16,33.6,2.13,1.35,6,0.5,2.25,24.62,24.94,25.21,100.74,90,14.491,18.665,45.65,58.46,300.2,1799,97.33,"KBS_Pvir_2"
"5",2.44,0.167,18.9,2.19,1.34,6,0.5,2.25,24.64,24.98,25.21,49.56,44.48,14.582,18.883,45.87,59.05,300.2,1800,97.34,"KBS_Pvir_2"
"6",-0.307,0.175,4.93,2.28,1.33,6,0.5,2.25,24.66,25.03,25.21,1.41,2.02,14.619,19.08,45.9,59.61,300.2,1799,97.34,"KBS_Pvir_2"
"7",21.6,0.188,153,2.35,1.29,6,0.5,2.25,24.68,25.02,25.21,401.13,356.27,14.85,19.463,46.34,60.74,300.2,1799,97.33,"KBS_Pvir_2"
"8",21.6,0.185,149,2.33,1.29,6,0.5,2.25,24.71,25.1,25.21,399.31,354.41,15.037,19.599,47.06,61.04,300.2,1799,97.33,"KBS_Pvir_2"
"9",24.5,0.189,315,2.36,1.28,6,0.5,2.25,24.51,25.15,24.83,598.28,546.65,15.159,19.782,48.02,62.36,300.2,1800,97.33,"KBS_Pvir_2"
"10",25.2,0.186,499,2.3,1.27,6,0.5,2.25,24.47,25.11,24.83,797.44,743.71,15.342,19.85,48.76,62.71,300.2,1799,97.33,"KBS_Pvir_2"
