"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",41,0.361,101,5.55,1.7,6,0.5,2.25,24.47,25.35,24.08,399.79,314.11,4.849,15.789,15.39,50.11,299.6,1800,97.78,"KBS_Zmay_11"
"2",35.6,0.427,66.8,5.89,1.57,6,0.5,2.25,23.56,25.04,22.73,299.47,225.54,4.984,16.588,17.12,55.61,299.6,1799,97.78,"KBS_Zmay_11"
"3",25,0.43,37.1,5.86,1.55,6,0.5,2.25,23.34,24.9,22.53,199.26,147.52,4.935,16.479,17.17,55.98,299.6,1801,97.78,"KBS_Zmay_11"
"4",14.8,0.55,15.8,6.57,1.42,6,0.5,2.25,23.74,24.82,23.11,99.47,68.88,4.77,17.693,15.82,58.67,299.6,1800,97.78,"KBS_Zmay_11"
"5",7.81,0.575,6.46,6.68,1.39,6,0.5,2.25,24.25,24.81,23.91,49.49,33.4,4.802,17.939,15.89,57.7,299.6,1800,97.78,"KBS_Zmay_11"
"6",0.207,0.597,-3.19,6.85,1.38,6,0.5,2.25,24.61,25.02,24.29,-2.2,-2.58,4.937,18.407,16.15,57.93,299.6,1800,97.78,"KBS_Zmay_11"
"7",40,0.596,179,6.94,1.4,6,0.5,2.25,24.28,25.05,23.39,400.66,316.15,4.598,18.244,14.76,58.56,299.6,1799,97.79,"KBS_Zmay_11"
"8",40.4,0.552,166,6.7,1.44,6,0.5,2.25,23.89,25.07,23.12,398.82,313.71,4.734,17.909,16.01,58.88,299.6,1799,97.79,"KBS_Zmay_11"
"9",41.3,0.48,337,6.29,1.52,6,0.5,2.25,23.58,25.03,22.71,598.9,509.83,4.711,17.086,16.21,57.23,299.6,1800,97.79,"KBS_Zmay_11"
"10",42.6,0.371,480,5.58,1.67,6,0.5,2.25,23.39,25.1,22.53,799.96,706.69,4.589,15.59,15.79,52.82,299.6,1800,97.79,"KBS_Zmay_11"
