"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",3.15362621,0.047163855,274.8811189,0.800924415,1.7096061,6,0.5,2.25,23.95571327,25.04506493,24.46660614,399.9542847,393.0224304,13.07134247,14.64859772,44.17173386,49.50172043,300.2146912,1798.702271,100.9396591,"LaSelva_Aadi_1"
"2",1.751142766,0.043606046,223.6141164,0.735814538,1.696300007,6,0.5,2.25,23.90092087,24.96867752,24.45049858,300.0005493,296.0653076,13.18763733,14.63671684,44.71231461,49.62537766,300.2090454,1799.869019,100.9409866,"LaSelva_Aadi_1"
"3",0.768634662,0.041705643,163.2201246,0.701532846,1.689573171,6,0.5,2.25,23.88271904,24.95480347,24.45043373,199.9296722,198.1157379,13.29567528,14.67715454,45.128582,49.81764221,300.2157288,1799.644409,100.9423599,"LaSelva_Aadi_1"
"4",-0.181619572,0.040520879,104.64075,0.680923332,1.686995786,6,0.5,2.25,23.88217926,24.9720974,24.45100021,99.9276886,100.1543655,13.39379978,14.73459053,45.46470261,50.01595688,300.2214355,1799.002075,100.9458771,"LaSelva_Aadi_1"
"5",-0.389426685,0.039469214,66.7304906,0.656716934,1.669609962,6,0.5,2.25,23.85117149,24.95051765,24.41077805,51.6056633,52.31523895,13.57281494,14.86569405,46.16046524,50.55747986,300.2389221,1798.879639,100.9505081,"LaSelva_Aadi_1"
"6",2.397339216,0.03922288,286.3697439,0.64938642,1.661115587,6,0.5,2.25,23.84991264,24.95540237,24.41064262,400.0830994,394.77948,13.68020821,14.9586401,46.53030396,50.87861633,300.2142639,1799.801147,100.952858,"LaSelva_Aadi_1"
"7",2.362326525,0.038982673,287.2939132,0.643672375,1.656470727,6,0.5,2.25,23.84649086,24.94358253,24.41033745,400.0647278,394.8355408,13.71535492,14.98250198,46.65948486,50.97030258,300.2154541,1799.849609,100.9529343,"LaSelva_Aadi_1"
"8",3.308488816,0.037379126,435.3360158,0.616482673,1.653317325,6,0.5,2.25,23.85158157,24.94804192,24.41044617,600.0691528,592.7265625,13.80887699,15.02246094,46.9621048,51.0893364,300.2124023,1799.354248,100.9504318,"LaSelva_Aadi_1"
"9",4.120896604,0.035396131,583.8162242,0.580430125,1.642482876,6,0.5,2.25,23.71954346,24.89501953,24.21307945,800.0308838,790.8778076,13.88810825,15.03066921,47.60813522,51.52481079,300.2233887,1798.991089,100.9501266,"LaSelva_Aadi_1"
"10",4.714332097,0.034573753,745.5296911,0.568055329,1.64502338,6,0.5,2.25,23.71072006,24.9239006,24.2140522,1000.222534,989.6774902,13.94146633,15.05961895,47.81600571,51.65100479,300.2276917,1800.064575,100.9492111,"LaSelva_Aadi_1"
"11",4.830279451,0.03317989,925.0884931,0.545225378,1.644193935,6,0.5,2.25,23.7163887,24.93248367,24.21372223,1200.048218,1189.099121,14.01075459,15.08396149,48.03702927,51.71660995,300.2223816,1799.997314,100.9487534,"LaSelva_Aadi_1"
"12",5.65715129,0.032361093,1168.703919,0.532658721,1.646313875,6,0.5,2.25,23.76134109,24.953228,24.17328644,1500.143066,1487.253906,14.05323792,15.10169125,48.05284882,51.63787079,300.2220459,1799.677124,100.9494858,"LaSelva_Aadi_1"
"13",6.386456954,0.031780039,1611.794208,0.52394232,1.648486614,6,0.5,2.25,23.80997849,24.97605705,24.17043304,2000.073608,1985.231567,14.09188747,15.12314892,48.04360199,51.5594902,300.225708,1799.233398,100.9482193,"LaSelva_Aadi_1"
