"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",4.80229093,0.050867057,226.341951,0.947744242,1.874968663,6,0.5,2.25,22.28017616,25.31435585,21.73062515,400.0148315,389.6796875,11.68331623,13.55165863,43.59199905,50.56303024,300.2342834,1801.100952,100.710289,"LaSelva_Cela_4"
"2",3.155867808,0.048041001,179.1805529,0.880375189,1.842442149,6,0.5,2.25,21.97177696,25.0814743,21.74398232,300.083374,293.2607422,11.69579601,13.43150711,44.46703339,51.06615067,300.2402039,1801.321533,100.7119522,"LaSelva_Cela_4"
"3",1.803311879,0.046394601,128.0259868,0.845172667,1.83049931,6,0.5,2.25,21.90692139,24.98696709,21.7474308,200.0566101,196.1218262,11.70520306,13.37152576,44.68045044,51.04104614,300.2556763,1801.373657,100.7146454,"LaSelva_Cela_4"
"4",0.267946004,0.0468325,87.16518544,0.843758931,1.810932192,6,0.5,2.25,21.8737812,24.87989616,21.74751472,99.91950989,99.21676636,11.70105553,13.36465073,44.75613785,51.11933136,300.2469788,1800.19812,100.7170715,"LaSelva_Cela_4"
"5",-0.267467257,0.049930551,59.93573253,0.892769438,1.799705027,6,0.5,2.25,22.08061981,24.86688423,22.1008625,52.4057312,52.84592056,11.69103718,13.45101261,44.15973282,50.8075676,300.2635498,1800.394287,100.7229156,"LaSelva_Cela_4"
"6",5.128369672,0.054014366,225.0906882,0.959558775,1.79112142,6,0.5,2.25,22.37823486,24.88532257,22.60123062,400.0258789,389.0318298,11.67929268,13.57076836,43.32305908,50.3392868,300.2534485,1800.508179,100.722496,"LaSelva_Cela_4"
"7",5.14895357,0.055980175,229.3845744,0.993501516,1.790740736,6,0.5,2.25,22.43784714,24.91929817,22.57246017,399.7072144,388.6464539,11.68009853,13.63834,43.16876602,50.40628052,300.2546387,1800.422852,100.7212296,"LaSelva_Cela_4"
"8",7.876270258,0.058593991,349.7033562,1.040727934,1.7940558,6,0.5,2.25,22.47758293,24.97754288,22.56956863,600.0756836,583.1233521,11.6634531,13.714674,43.00352097,50.56644058,300.2469482,1800.54126,100.7218323,"LaSelva_Cela_4"
"9",9.609013509,0.060236389,499.5800806,1.066737296,1.789914861,6,0.5,2.25,22.48982239,24.97372818,22.56990051,800.0593872,779.197876,11.64702797,13.74926281,42.90901947,50.65390396,300.2720032,1800.265381,100.7170944,"LaSelva_Cela_4"
"10",10.20391908,0.056903598,660.4475308,1.020490943,1.809988936,6,0.5,2.25,22.4943924,25.02166748,22.56943512,999.9653931,977.5812378,11.6288681,13.64031124,42.82978058,50.23804474,300.253418,1800.358032,100.7160645,"LaSelva_Cela_4"
"11",10.29236174,0.048549898,802.622798,0.890608161,1.844885145,6,0.5,2.25,22.48828888,25.05892372,22.56965637,1200.34314,1177.681152,11.60844707,13.36427498,42.76987457,49.23900604,300.2705994,1800.576904,100.7147598,"LaSelva_Cela_4"
"12",9.409558482,0.033064577,980.181587,0.631723831,1.909016845,6,0.5,2.25,22.23612785,25.10694122,22.06650925,1499.975952,1479.306274,11.57187843,12.81801796,43.29493713,47.95723724,300.2680054,1800.625122,100.7168274,"LaSelva_Cela_4"
"13",10.01560143,0.027138758,1329.810114,0.52509922,1.928533646,6,0.5,2.25,22.14372253,25.09270477,22.10109329,2000.212646,1978.123169,11.56111813,12.59718895,43.49917603,47.39743042,300.2600403,1800.34021,100.7177429,"LaSelva_Cela_4"
