"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",7.614663344,0.108328752,257.2377395,1.846585931,1.760070076,6,0.5,2.25,21.14875221,25.68609047,19.62514496,400.0743103,383.4387207,11.74102211,15.37526035,47.05215454,61.61636734,300.1774902,1799.543701,100.9425125,"LaSelva_Fcol_10"
"2",5.56009797,0.103375698,191.8302618,1.697661074,1.693019617,6,0.5,2.25,20.41753006,25.2134552,18.88949585,299.9113464,287.8217773,11.78971958,15.1314888,49.4205246,63.42865753,300.1954041,1799.531982,100.9384003,"LaSelva_Fcol_10"
"3",3.244142128,0.100651556,134.9047228,1.626624657,1.664463186,6,0.5,2.25,20.17098808,25.00376129,18.64831352,199.9611359,192.8500824,11.81712818,15.01943493,50.292099,63.92068481,300.1949158,1799.695557,100.9310608,"LaSelva_Fcol_10"
"4",0.76529564,0.099540194,83.10024811,1.573630602,1.627929456,6,0.5,2.25,20.02097702,24.76661491,18.57139206,100.0865707,98.24794769,11.83995438,14.93821239,50.86065292,64.16977692,300.1925659,1799.722656,100.9339981,"LaSelva_Fcol_10"
"5",-0.024532405,0.103023297,60.97129861,1.623054751,1.624527127,6,0.5,2.25,20.7557354,24.82549477,19.90596771,62.34115219,62.18844986,11.88597965,15.08097172,48.79502106,61.91128922,300.2030945,1799.835327,100.9364395,"LaSelva_Fcol_10"
"6",7.422046155,0.106981397,259.9374627,1.681730658,1.6234228,6,0.5,2.25,20.98491287,24.89317131,20.06436157,400.0095825,383.8861084,11.90882492,15.21867561,48.20255661,61.599617,300.219635,1799.695435,100.9325409,"LaSelva_Fcol_10"
"7",7.580002136,0.108632621,258.7467718,1.709646784,1.626326411,6,0.5,2.25,21.01990891,24.94283485,20.0634594,399.8841858,383.4238892,11.91764069,15.28248215,48.13557434,61.72622681,300.1958618,1799.613281,100.9345551,"LaSelva_Fcol_10"
"8",10.21779329,0.11402671,414.6844024,1.795745793,1.631024113,6,0.5,2.25,21.29214287,25.06504631,20.45281219,599.81427,577.3203125,11.92983723,15.46342468,47.3927803,61.43039703,300.2009888,1799.587646,100.9482193,"LaSelva_Fcol_10"
"9",11.06293086,0.116764537,598.5278305,1.845138886,1.638306155,6,0.5,2.25,21.3360672,25.16043091,20.34472084,799.9611206,774.9922485,11.94053936,15.5708952,47.30945587,61.6932373,300.2033691,1799.442383,100.9519119,"LaSelva_Fcol_10"
"10",11.55628936,0.117314875,785.5987172,1.839691265,1.626290776,6,0.5,2.25,20.92374039,25.09485817,19.74666786,999.9725952,973.296814,11.94629383,15.56597042,48.54568481,63.25482178,300.2016296,1799.369507,100.9518509,"LaSelva_Fcol_10"
"11",11.89581236,0.118015424,975.3712094,1.842752588,1.61965623,6,0.5,2.25,20.86388206,25.0695858,19.74969101,1200.012573,1171.920288,11.95998859,15.58567047,48.77545929,63.56178665,300.197113,1799.276733,100.9412231,"LaSelva_Fcol_10"
"12",12.49910927,0.118261709,1257.324923,1.841317142,1.615295309,6,0.5,2.25,20.84697723,25.05066299,19.75012589,1499.924316,1469.533936,11.969594,15.59247112,48.86778259,63.65876007,300.1934204,1799.364624,100.9460983,"LaSelva_Fcol_10"
"13",13.09863253,0.117267327,1732.101684,1.826324886,1.615123494,6,0.5,2.25,20.84003258,25.03455353,19.75040436,2000.298462,1966.939453,11.97027969,15.56362534,48.89218521,63.56908035,300.2050171,1799.381348,100.9475784,"LaSelva_Fcol_10"
