"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",12.06034037,0.178302842,251.6924408,2.284944997,1.36411757,6,0.5,2.25,23.93063736,24.28807449,24.4158268,399.9214172,374.110321,12.17436218,16.66475105,41.22573853,56.431427,300.2234802,1800.709595,100.9962616,"LaSelva_Ijin_1"
"2",7.913843033,0.122252893,169.1641346,1.762032332,1.499332346,6,0.5,2.25,23.61400604,24.47123337,24.61983681,299.824707,283.0125427,12.19250488,15.65873241,42.08145142,54.04485703,300.2297668,1800.970459,100.9965057,"LaSelva_Ijin_1"
"3",4.260472264,0.105899713,120.2472267,1.529747152,1.493051393,6,0.5,2.25,23.71888351,24.19049644,24.34079361,200.0510254,190.9525146,12.20137691,15.21212864,41.84679794,52.1727066,300.2193298,1800.402466,100.9961777,"LaSelva_Ijin_1"
"4",1.035673726,0.092223061,76.62005913,1.46956935,1.636405103,6,0.5,2.25,24.39250183,24.91945457,24.98145676,99.87272644,97.51661682,12.23731899,15.12971497,40.30615616,49.83286285,300.2359009,1798.850342,100.9956589,"LaSelva_Ijin_1"
"5",-0.402500693,0.08586509,52.4803861,1.387743993,1.655224874,6,0.5,2.25,24.5160408,24.95290756,24.9795723,45.37413788,46.05074692,12.27476215,15.00626278,40.13076401,49.06105423,300.2567444,1798.980103,100.9935913,"LaSelva_Ijin_1"
"6",8.202933045,0.08342173,212.6024413,1.352440408,1.658750344,6,0.5,2.25,24.51763725,24.91994667,24.97948265,400.3232727,382.8951416,12.24728489,14.90978622,40.03685379,48.74067307,300.2310181,1799.212524,100.9929428,"LaSelva_Ijin_1"
"7",7.859924645,0.079777825,212.8205053,1.304882525,1.670967539,6,0.5,2.25,24.51672173,24.9140377,24.97951889,399.9858398,383.27948,12.20923424,14.77831554,39.9131813,48.31175995,300.2470703,1799.417358,100.9892273,"LaSelva_Ijin_1"
"8",11.04544602,0.069574524,303.7283989,1.165505955,1.704092741,6,0.5,2.25,24.51550484,24.91891098,24.97999954,599.9904175,576.5748901,12.16441536,14.45982265,39.76844025,47.272686,300.2481384,1799.588135,100.9863892,"LaSelva_Ijin_1"
"9",12.12008384,0.051758128,376.0615549,0.901810893,1.759311549,6,0.5,2.25,24.51070023,24.9158287,24.97922134,800.0793457,774.4625854,12.13008785,13.90722179,39.66774368,45.47932053,300.2370911,1799.724487,100.9867172,"LaSelva_Ijin_1"
"10",13.23237697,0.044538206,467.7391019,0.788865953,1.783031422,6,0.5,2.25,24.51172829,24.91766548,24.98018646,999.880249,971.9039307,12.12094307,13.67588425,39.63507843,44.7196846,300.2341919,1799.6698,100.9859009,"LaSelva_Ijin_1"
"11",14.33088762,0.039647119,557.5180263,0.710116019,1.799262669,6,0.5,2.25,24.51395988,24.91616821,24.98018265,1200.002686,1169.703857,12.1130991,13.51302147,39.60220337,44.1790657,300.2395935,1799.614136,100.9809418,"LaSelva_Ijin_1"
"12",15.99463113,0.035014394,693.7839528,0.634323598,1.816337761,6,0.5,2.25,24.51179695,24.91612625,24.97952652,1499.948242,1466.125854,12.09320164,13.34392643,39.54204178,43.63162994,300.2383423,1799.674927,100.9803696,"LaSelva_Ijin_1"
"13",17.94697496,0.030981118,980.4241197,0.56680023,1.8311769,6,0.5,2.25,24.51437187,24.91884232,24.98026276,1999.869263,1961.781738,12.0842514,13.2019968,39.50685501,43.16107941,300.238678,1799.612061,100.9807968,"LaSelva_Ijin_1"
