"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",13.304941,0.331646656,290.0456727,4.302058403,1.466495811,6,0.5,2.25,23.95320129,24.84910011,25.09000206,399.8220825,370.0500793,8.234455109,16.68877983,27.83285332,56.40887833,300.2200012,1799.742188,100.9473419,"LaSelva_Lsee_2"
"2",8.475799015,0.295408853,223.3543361,4.121653055,1.555199879,6,0.5,2.25,24.42339897,25.09491158,24.98004913,299.9310303,280.6804199,8.16776371,16.27074814,26.84007645,53.46728134,300.2294312,1799.708008,100.9489288,"LaSelva_Lsee_2"
"3",3.756675484,0.274402101,162.0966187,3.979171253,1.603213308,6,0.5,2.25,24.26836014,25.14820862,24.61231422,199.8352356,190.810257,8.070508003,15.89635372,26.76712608,52.72278976,300.2295532,1799.671021,100.9457169,"LaSelva_Lsee_2"
"4",1.059814694,0.267124337,87.67748425,3.910330157,1.61408603,6,0.5,2.25,24.21516418,25.05737686,24.63698959,99.93058777,97.05407715,7.924572468,15.6173563,26.36673164,51.96225739,300.2237854,1799.809326,100.9444046,"LaSelva_Lsee_2"
"5",0.694837352,0.262952382,68.99218511,3.894556784,1.630880525,6,0.5,2.25,24.18649673,24.96465492,24.63790703,77.50325012,75.52689362,7.612152576,15.27605247,25.37199783,50.91646957,300.2437439,1799.866821,100.9490433,"LaSelva_Lsee_2"
"6",10.0974154,0.265096818,301.0126576,3.923326508,1.631320847,6,0.5,2.25,24.17176056,24.88028717,24.63728523,400.0735779,376.9406433,7.392158508,15.1136713,24.66089821,50.42054749,300.254425,1799.718628,100.9505539,"LaSelva_Lsee_2"
"7",10.25227436,0.264339329,299.2962501,3.922667149,1.635317863,6,0.5,2.25,24.16627121,24.85598755,24.63760185,399.8626709,376.422821,7.307387352,15.02893066,24.38584328,50.15378571,300.2286072,1799.78186,100.9494019,"LaSelva_Lsee_2"
"8",13.46395608,0.255629323,462.2855649,3.886864008,1.66993173,6,0.5,2.25,24.17455101,24.90448952,24.63872337,599.8373413,568.513855,7.123586655,14.77660656,23.76059341,49.28710175,300.2288818,1799.336426,100.9490891,"LaSelva_Lsee_2"
"9",14.27260518,0.226618309,636.4874327,3.654685678,1.750943216,6,0.5,2.25,24.17355919,25.01677895,24.63758278,799.7108154,765.5963745,6.985151768,14.18518257,23.29917908,47.31509781,300.2356567,1799.333618,100.9445267,"LaSelva_Lsee_2"
"10",14.44903931,0.188080161,806.4851377,3.292263601,1.871390152,6,0.5,2.25,24.1238575,25.19679642,24.45547104,1000.004333,964.7807007,6.840400219,13.33215237,22.88413048,44.60187912,300.2305603,1799.280151,100.9428787,"LaSelva_Lsee_2"
"11",14.2119353,0.153456147,974.5226494,2.856248076,1.962568995,6,0.5,2.25,23.3285675,25.16789055,23.28121567,1200.126953,1165.075562,6.737120628,12.3744297,23.64315414,43.42664719,300.2393799,1798.89978,100.9400101,"LaSelva_Lsee_2"
"12",14.30802806,0.129808751,1235.230867,2.501896899,2.013356051,6,0.5,2.25,23.08395958,25.00812531,23.23283768,1499.888916,1463.976074,6.628155231,11.57011223,23.60663986,41.20776749,300.2393188,1798.887207,100.9378433,"LaSelva_Lsee_2"
"13",14.40649172,0.114151153,1690.765444,2.275591571,2.069115311,6,0.5,2.25,23.16622543,25.03012848,23.42843819,1999.969604,1962.254883,6.562201023,11.05961037,23.25461769,39.19218826,300.2294312,1799.168701,100.932869,"LaSelva_Lsee_2"
