"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",5.246785451,0.196769084,331.7485153,3.039306363,1.654653631,6,0.5,2.25,23.18530846,25.21637535,22.71629906,399.9933472,387.155304,9.542410851,15.52252483,33.76678085,54.92801285,300.2078552,1799.78064,100.9033051,"LaSelva_Vkos_2"
"2",3.894264465,0.163187709,242.9890337,2.614493013,1.693599415,6,0.5,2.25,22.93361855,25.04754639,22.71728325,300.1112061,290.8087769,9.669563293,14.81734276,34.74134827,53.23657608,300.2171936,1799.981934,100.9022141,"LaSelva_Vkos_2"
"3",2.000961422,0.123631739,162.7912081,2.110869771,1.776099862,6,0.5,2.25,22.85749817,25.01371574,22.71929932,199.844223,195.0226898,9.776582718,13.93627357,35.28763199,50.30163193,300.2317505,1800.087402,100.9006271,"LaSelva_Vkos_2"
"4",0.284971548,0.101659398,91.50480265,1.797517334,1.822840576,6,0.5,2.25,22.81531715,24.98126793,22.72013092,99.88692474,98.9618988,9.868021965,13.41220093,35.70852661,48.53352737,300.2233276,1800.273926,100.8997498,"LaSelva_Vkos_2"
"5",0.077557785,0.104558628,68.67735961,1.801011912,1.778103688,6,0.5,2.25,22.85285187,24.82616234,22.94653511,72.33984375,71.9260025,10.01513767,13.56526661,36.15950012,48.97718811,300.2562561,1800.435547,100.9024353,"LaSelva_Vkos_2"
"6",4.441583087,0.123149053,319.2129567,2.043090458,1.725655075,6,0.5,2.25,23.46794128,24.84127808,23.85579872,399.9380798,389.4708252,10.08722878,14.11291122,35.09118652,49.0956192,300.2109375,1800.44458,100.9046097,"LaSelva_Vkos_2"
"7",4.604185279,0.131217191,320.4442148,2.156432655,1.714870507,6,0.5,2.25,23.58255196,24.91615486,23.85647011,400.0632935,389.1844482,10.11175537,14.3595562,34.93434143,49.60975266,300.2213135,1800.439331,100.9047394,"LaSelva_Vkos_2"
"8",6.030042946,0.148134785,501.5831399,2.377275945,1.68590587,6,0.5,2.25,23.64297104,25.02617836,23.85574913,599.9545288,585.12323,10.17228031,14.85280991,35.0161972,51.12805557,300.2181702,1800.210327,100.9060059,"LaSelva_Vkos_2"
"9",6.602289473,0.14320746,685.1026807,2.347303964,1.718024211,6,0.5,2.25,22.82586861,25.22122955,22.35836983,800.0584106,783.1901245,10.28221035,14.90327454,37.18593979,53.89816666,300.2323303,1799.103638,100.9062958,"LaSelva_Vkos_2"
"10",7.176880846,0.120526559,855.8936991,2.037475471,1.755616999,6,0.5,2.25,22.23671341,25.15540886,21.54311752,999.8659668,981.526001,10.3928175,14.40611744,38.95464325,53.99740219,300.2202759,1799.050171,100.9044189,"LaSelva_Vkos_2"
"11",7.431420455,0.094954389,1019.476851,1.666399307,1.803555289,6,0.5,2.25,22.00055695,25.08692741,21.4734478,1200.021973,1181.236206,10.51742077,13.80179119,39.99237823,52.48115921,300.2219238,1799.204956,100.9027328,"LaSelva_Vkos_2"
"12",7.890106026,0.078151897,1272.600412,1.417045827,1.850305522,6,0.5,2.25,21.77513123,25.13195992,21.11863327,1500.014282,1480.054688,10.62989712,13.42381287,40.97930908,51.7501297,300.2288818,1799.637573,100.9008255,"LaSelva_Vkos_2"
"13",8.227783754,0.064265273,1712.810501,1.195199294,1.886817152,6,0.5,2.25,21.56848907,25.16273689,20.68157959,2000.106812,1978.936157,10.76258945,13.11991596,42.01935959,51.22284698,300.2176514,1799.053345,100.9031982,"LaSelva_Vkos_2"
