"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",13.14406206,0.226546152,263.3976134,2.935990157,1.403223369,6,0.5,2.25,24.27178764,25.1673069,24.27523613,399.8260498,371.3805237,12.1632719,17.92526817,40.30706024,59.40135574,300.2461243,1799.88855,100.8804474,"LaSelva_Zlon_1"
"2",9.903418595,0.19835213,187.2916869,2.662697003,1.437466712,6,0.5,2.25,23.85390854,25.06362915,24.17083168,299.8615723,278.5881958,12.16147423,17.39006805,41.32447433,59.09114075,300.2404785,1799.865967,100.8790207,"LaSelva_Zlon_1"
"3",5.995247462,0.175466775,124.9684014,2.451847489,1.482508973,6,0.5,2.25,23.81887245,25.07962418,24.17207336,199.9039459,187.0070496,12.15807247,16.97456169,41.39805603,57.79813004,300.2471313,1799.931274,100.8741379,"LaSelva_Zlon_1"
"4",1.82253713,0.1603757,74.4596524,2.30913118,1.518182022,6,0.5,2.25,23.79510307,25.11509323,24.17233467,99.91762543,95.83330536,12.15130806,16.68878937,41.43206406,56.90341568,300.2451477,1800.097534,100.868866,"LaSelva_Zlon_1"
"5",-0.238907731,0.140147809,47.65981785,2.103788642,1.569719374,6,0.5,2.25,23.64523697,25.17240715,23.84767151,45.6870842,45.97123718,12.15122414,16.28685379,41.80602646,56.03456879,300.2480469,1800.160889,100.865921,"LaSelva_Zlon_1"
"6",11.56915943,0.136503495,225.2619689,2.02792644,1.551457417,6,0.5,2.25,23.42944336,24.99802208,23.70304871,400.0639038,375.4219971,12.15205956,16.13936806,42.35456085,56.25185013,300.2321472,1800.352295,100.8617706,"LaSelva_Zlon_1"
"7",11.37890294,0.1327045,224.252159,1.98073368,1.556311265,6,0.5,2.25,23.40575027,24.97451782,23.70500755,400.1301575,375.90271,12.1528368,16.04759979,42.41654205,56.01026917,300.241272,1800.641724,100.8586273,"LaSelva_Zlon_1"
"8",14.31333356,0.121037732,359.5302471,1.840507875,1.577927387,6,0.5,2.25,23.37408638,24.93891335,23.7046833,599.9708252,569.2728882,12.14751053,15.76762772,42.47603226,55.13444138,300.2368164,1801.024536,100.8514709,"LaSelva_Zlon_1"
"9",15.99386217,0.107188541,500.448781,1.678152224,1.61529988,6,0.5,2.25,23.34997749,24.96088982,23.7042942,799.9581299,765.428833,12.13708687,15.43894958,42.4994812,54.06135941,300.2384033,1800.044922,100.846962,"LaSelva_Zlon_1"
"10",16.6838933,0.09526194,651.9104171,1.530335199,1.649139555,6,0.5,2.25,23.33835983,24.97887993,23.70495796,1000.092957,963.805603,12.1265831,15.13840294,42.48900604,53.04178619,300.2507019,1800.285767,100.8386765,"LaSelva_Zlon_1"
"11",17.3134089,0.085395108,800.416925,1.403534362,1.680253899,6,0.5,2.25,23.33331871,25.00648308,23.70490074,1199.850098,1161.991943,12.11931705,14.88238716,42.47457123,52.15829849,300.241333,1800.459961,100.8341522,"LaSelva_Zlon_1"
"12",18.3473854,0.078873283,1041.472275,1.320701046,1.707062998,6,0.5,2.25,23.3382206,25.05459595,23.70459747,1499.856201,1459.338989,12.10709858,14.70758152,42.41783524,51.52875519,300.2388611,1800.406494,100.830925,"LaSelva_Zlon_1"
"13",18.79894054,0.074087044,1492.171545,1.257650742,1.727037635,6,0.5,2.25,23.33803177,25.08376503,23.70413589,2000.264771,1957.776123,12.08837128,14.56507683,42.35107803,51.0281105,300.2374573,1800.538208,100.8270645,"LaSelva_Zlon_1"
