"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",7.66,0.081,220,1.24,1.51,6,0.5,2.25,21.47,25.21,20.13,400.26,384,15.077,17.516,57.22,66.49,300.2,1799,97.55,"MMSF_Asac_9"
"2",4.45,0.065,173,1,1.51,6,0.5,2.25,21.13,25.01,19.94,300.36,290.87,15.118,17.092,58.75,66.29,300.2,1799,97.55,"MMSF_Asac_9"
"3",2.08,0.0552,131,0.858,1.51,6,0.5,2.25,21.03,24.87,19.94,201.02,196.53,15.137,16.822,59.19,65.63,300.2,1800,97.55,"MMSF_Asac_9"
"4",0.225,0.0539,89.6,0.842,1.52,6,0.5,2.25,21.35,24.9,20.53,99.45,98.83,15.131,16.785,58.03,64.22,300.2,1800,97.55,"MMSF_Asac_9"
"5",-0.587,0.0552,68.3,0.863,1.53,6,0.5,2.25,21.38,24.92,20.53,51.38,52.47,15.097,16.793,57.75,64.12,300.2,1800,97.55,"MMSF_Asac_9"
"6",4.81,0.0462,213,0.745,1.57,6,0.5,2.25,21.4,24.98,20.53,400.46,390.27,15.036,16.5,57.35,62.95,300.2,1800,97.55,"MMSF_Asac_9"
"7",2.71,0.0274,225,0.466,1.64,6,0.5,2.25,21.4,25.08,20.53,399.41,393.62,15.06,15.975,57.5,60.92,300.2,1799,97.55,"MMSF_Asac_9"
"8",4.01,0.0236,304,0.404,1.65,6,0.5,2.25,21.4,25.07,20.53,598.77,590.27,15.047,15.842,57.45,60.4,300.2,1799,97.54,"MMSF_Asac_9"
"9",4.7,0.0205,404,0.353,1.65,6,0.5,2.25,21.38,25,20.53,799.73,789.78,14.972,15.666,57.17,59.82,300.2,1799,97.53,"MMSF_Asac_9"
"10",4.36,0.0156,521,0.272,1.67,6,0.5,2.25,21.37,24.99,20.53,1000.17,990.91,14.958,15.493,57.15,59.2,300.2,1800,97.53,"MMSF_Asac_9"
"11",3.94,0.012,638,0.211,1.68,6,0.5,2.25,21.36,25,20.53,1199.29,1190.92,14.947,15.362,57.14,58.73,300.2,1800,97.53,"MMSF_Asac_9"
"12",3.6,0.0091,824,0.161,1.69,6,0.5,2.25,21.35,25,20.53,1500.39,1492.71,14.925,15.242,57.07,58.28,300.2,1799,97.53,"MMSF_Asac_9"
"13",3.39,0.00672,1140,0.12,1.71,6,0.5,2.25,21.36,25.03,20.53,1998.79,1991.54,14.909,15.146,57.02,57.91,300.2,1799,97.53,"MMSF_Asac_9"
