"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",7.08,0.102,261,1.63,1.58,6,0.5,2.25,23.78,25.42,23.67,399.65,384.21,14.083,17.284,46.36,56.91,299.6,1800,97.32,"MMSF_Fgra_4"
"2",5.31,0.105,198,1.61,1.53,6,0.5,2.25,22.43,25.17,21.76,299.46,287.9,14.148,17.325,50.67,61.88,299.6,1799,97.32,"MMSF_Fgra_4"
"3",3.19,0.109,140,1.6,1.46,6,0.5,2.25,21.74,24.87,20.77,199.76,192.74,14.254,17.407,53.34,64.85,299.6,1799,97.31,"MMSF_Fgra_4"
"4",1.01,0.127,81.6,1.8,1.42,6,0.5,2.25,21.87,24.77,21.23,99.37,97.01,14.133,17.666,52.26,65.32,299.6,1799,97.31,"MMSF_Fgra_4"
"5",-0.2,0.135,51.1,1.88,1.4,6,0.5,2.25,22.22,24.79,21.75,49.54,49.75,14.215,17.912,51.63,64.79,299.6,1799,97.31,"MMSF_Fgra_4"
"6",7.51,0.148,290,2.02,1.38,6,0.5,2.25,22.49,24.78,21.96,400.4,383.8,14.107,18.087,50.2,64.37,299.6,1799,97.3,"MMSF_Fgra_4"
"7",7.52,0.141,285,1.97,1.41,6,0.5,2.25,22.35,24.9,21.76,399.41,382.83,14.147,18.021,50.94,64.69,299.6,1799,97.3,"MMSF_Fgra_4"
"8",9.88,0.12,428,1.74,1.45,6,0.5,2.25,22.31,24.91,21.76,599.64,577.83,14.224,17.652,51.44,63.53,299.6,1799,97.3,"MMSF_Fgra_4"
"9",11.8,0.106,573,1.57,1.47,6,0.5,2.25,22.19,24.79,21.56,800.94,774.87,14.063,17.153,50.96,62.16,299.6,1799,97.3,"MMSF_Fgra_4"
"10",12.5,0.0899,721,1.4,1.53,6,0.5,2.25,22.18,24.95,21.57,999.52,971.84,14.105,16.853,51.33,61.14,299.6,1799,97.3,"MMSF_Fgra_4"
"11",13.5,0.0825,873,1.29,1.54,6,0.5,2.25,22.17,24.87,21.57,1200.27,1170.12,14.009,16.559,50.85,60.11,299.6,1799,97.29,"MMSF_Fgra_4"
"12",14.1,0.0686,1100,1.11,1.59,6,0.5,2.25,21.77,24.91,20.97,1500.64,1469.04,13.973,16.169,51.94,60.11,299.6,1799,97.29,"MMSF_Fgra_4"
"13",14.9,0.0577,1500,0.973,1.64,6,0.5,2.25,22.09,25.02,21.57,2000.42,1966.82,13.928,15.846,50.8,57.8,299.6,1799,97.29,"MMSF_Fgra_4"
