"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",2.52,0.0375,278,0.542,1.4,6,0.5,2.25,24.13,25.22,23.89,400.13,394.68,17.574,18.635,56.94,60.39,300.5,1801,97.81,"MMSF_Ltul_10"
"2",1.4,0.0315,219,0.446,1.37,6,0.5,2.25,23.45,25.07,22.93,299.58,296.53,17.759,18.634,60,62.89,300.5,1801,97.82,"MMSF_Ltul_10"
"3",0.573,0.0272,160,0.366,1.3,6,0.5,2.25,22.48,24.64,20.95,199.68,198.39,17.833,18.55,63.78,66.35,300.5,1801,97.82,"MMSF_Ltul_10"
"4",-0.185,0.0374,106,0.499,1.29,6,0.5,2.25,23.78,24.81,23.91,99.78,100.05,17.942,18.92,59.43,62.62,300.5,1801,97.82,"MMSF_Ltul_10"
"5",-0.643,0.0341,79.9,0.462,1.31,6,0.5,2.25,23.23,24.87,22.54,49.53,50.76,17.951,18.857,61.42,64.51,300.5,1801,97.82,"MMSF_Ltul_10"
"6",2.31,0.039,291,0.52,1.29,6,0.5,2.25,23.51,24.87,23.33,399.96,394.93,17.997,19.015,60.62,63.97,300.5,1801,97.82,"MMSF_Ltul_10"
"7",2.41,0.0418,294,0.539,1.25,6,0.5,2.25,23.47,24.64,23.13,400.14,394.9,17.952,19.008,60.52,64.08,300.5,1801,97.82,"MMSF_Ltul_10"
"8",4.21,0.0405,412,0.536,1.29,6,0.5,2.25,23.47,24.8,24.09,600.55,591.5,17.928,18.979,60.57,64.1,300.5,1801,97.82,"MMSF_Ltul_10"
"9",5,0.0356,547,0.485,1.32,6,0.5,2.25,23.52,24.92,23.11,800.33,789.57,17.915,18.866,60.22,63.41,300.5,1800,97.82,"MMSF_Ltul_10"
"10",6.04,0.0305,648,0.431,1.36,6,0.5,2.25,23.53,25.11,23.13,999.46,986.56,17.941,18.785,60.34,63.12,300.5,1800,97.82,"MMSF_Ltul_10"
"11",6.81,0.028,770,0.396,1.36,6,0.5,2.25,23.54,25.08,23.13,1199.73,1185.2,17.934,18.709,60.26,62.81,300.5,1800,97.82,"MMSF_Ltul_10"
"12",7.91,0.0265,971,0.381,1.39,6,0.5,2.25,23.79,25.2,23.73,1499.98,1483.06,17.929,18.677,59.38,61.8,300.5,1800,97.82,"MMSF_Ltul_10"
"13",9.6,0.0215,1220,0.291,1.3,6,0.5,2.25,22.73,24.63,21.94,1999.14,1978.82,17.908,18.479,63.16,65.16,300.5,1800,97.82,"MMSF_Ltul_10"
