"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",13.7,0.417,305,3.03,0.818,6,0.5,2.25,24.53,25.18,24.52,399.98,370.31,18.596,24.517,58.98,77.47,299.6,1800,97.71,"MMSF_Ltul_9"
"2",10.1,0.377,225,2.86,0.842,6,0.5,2.25,24.19,25.16,23.92,299.6,277.73,18.647,24.239,60.36,78.19,299.6,1800,97.71,"MMSF_Ltul_9"
"3",5.98,0.331,152,2.61,0.859,6,0.5,2.25,23.82,25.03,23.52,199.44,186.48,18.702,23.812,61.88,78.54,299.6,1800,97.71,"MMSF_Ltul_9"
"4",1.67,0.273,83.2,2.31,0.901,6,0.5,2.25,23.78,25.04,23.52,99.14,95.36,18.883,23.393,62.75,77.35,299.6,1800,97.71,"MMSF_Ltul_9"
"5",-0.279,0.242,51.6,2.14,0.928,6,0.5,2.25,23.78,24.95,23.54,50.05,50.4,18.774,22.953,62.07,75.9,299.6,1799,97.72,"MMSF_Ltul_9"
"6",10.9,0.181,269,1.75,0.991,6,0.5,2.25,23.37,24.99,22.94,400.49,377.33,18.948,22.377,64.4,75.83,299.6,1800,97.72,"MMSF_Ltul_9"
"7",10.9,0.177,267,1.66,0.962,6,0.5,2.25,23.32,24.71,22.94,400.24,377.24,18.88,22.13,64.16,75.21,299.6,1800,97.72,"MMSF_Ltul_9"
"8",14.8,0.139,381,1.4,1.02,6,0.5,2.25,23.02,24.8,22.55,600.23,569,18.974,21.721,65.84,75.19,299.6,1800,97.73,"MMSF_Ltul_9"
"9",17.5,0.12,508,1.28,1.07,6,0.5,2.25,23.38,24.92,23.14,800.17,763.24,18.954,21.454,64.33,72.67,299.6,1800,97.73,"MMSF_Ltul_9"
"10",19.5,0.108,643,1.2,1.11,6,0.5,2.25,23.45,25.06,23.13,999.07,957.76,18.966,21.324,64.11,71.94,299.6,1800,97.74,"MMSF_Ltul_9"
"11",20.1,0.0991,800,1.13,1.13,6,0.5,2.25,23.67,25.15,23.52,1197.96,1155.12,19.023,21.238,63.46,70.68,299.6,1800,97.73,"MMSF_Ltul_9"
"12",21.7,0.0928,1040,1.05,1.12,6,0.5,2.25,23.21,24.99,22.73,1500.71,1454.11,18.969,21.03,64.9,71.95,299.6,1800,97.73,"MMSF_Ltul_9"
"13",21.8,0.0856,1500,0.969,1.12,6,0.5,2.25,23.03,24.9,22.55,1998.15,1950.67,19.011,20.911,65.89,72.35,299.6,1800,97.74,"MMSF_Ltul_9"
