"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",8.78,0.1,228,1.31,1.31,6,0.5,2.25,21.9,25.1,20.69,399.02,380.46,16.739,19.313,62.28,71.73,300.2,1799,97.93,"MMSF_Qalb_2"
"2",6.26,0.0972,175,1.23,1.26,6,0.5,2.25,21.68,24.83,20.72,299.88,286.65,16.827,19.245,63.46,72.41,300.2,1800,97.93,"MMSF_Qalb_2"
"3",4.13,0.125,132,1.5,1.21,6,0.5,2.25,22.45,24.86,22.12,199.28,190.45,16.952,19.891,61.09,71.42,300.2,1800,97.93,"MMSF_Qalb_2"
"4",1.27,0.15,80.4,1.74,1.18,6,0.5,2.25,22.57,24.96,22.09,99.36,96.48,16.943,20.342,60.6,72.51,300.2,1800,97.94,"MMSF_Qalb_2"
"5",-0.428,0.159,54,1.81,1.16,6,0.5,2.25,22.61,25.01,22.09,49.8,50.47,17.04,20.586,60.86,73.2,300.2,1799,97.94,"MMSF_Qalb_2"
"6",9.08,0.116,243,1.43,1.24,6,0.5,2.25,22.59,24.94,22.09,399.77,380.52,16.934,19.732,60.28,70.26,300.2,1801,97.94,"MMSF_Qalb_2"
"7",5.27,0.0509,213,0.738,1.42,6,0.5,2.25,22.25,25.18,21.49,399.89,388.78,16.917,18.365,61.49,66.76,300.2,1799,97.94,"MMSF_Qalb_2"
"8",9.51,0.06,310,0.827,1.35,6,0.5,2.25,21.89,24.92,21.11,599.36,579.39,16.91,18.532,62.83,68.85,300.2,1800,97.94,"MMSF_Qalb_2"
"9",13.1,0.0768,476,1.01,1.3,6,0.5,2.25,22.35,24.85,21.89,798.17,770.48,16.976,18.952,61.5,68.49,300.2,1800,97.94,"MMSF_Qalb_2"
"10",14.1,0.0667,605,0.909,1.34,6,0.5,2.25,22.28,24.93,21.7,999.41,969.46,16.878,18.662,61.24,67.72,300.2,1799,97.95,"MMSF_Qalb_2"
"11",12.5,0.0404,648,0.591,1.42,6,0.5,2.25,22.29,25.05,21.7,1200.58,1174.11,16.879,18.039,61.21,65.43,300.2,1800,97.95,"MMSF_Qalb_2"
"12",12.8,0.0299,753,0.447,1.45,6,0.5,2.25,22.27,25.05,21.7,1500.95,1474.03,16.883,17.761,61.35,64.5,300.2,1800,97.95,"MMSF_Qalb_2"
"13",15.2,0.0309,1130,0.462,1.45,6,0.5,2.25,22.27,25.03,21.7,2000.65,1968.37,16.839,17.746,61.14,64.43,300.2,1800,97.95,"MMSF_Qalb_2"
