"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",7.37,0.0678,198,0.988,1.43,6,0.5,2.25,23.05,25.22,22.54,399.09,383.61,16.381,18.319,56.74,63.34,300.5,1800,97.76,"MMSF_Salb_1"
"2",5.13,0.0639,152,0.907,1.39,6,0.5,2.25,22.38,24.94,21.76,299.46,288.68,16.408,18.186,59.16,65.45,300.5,1800,97.75,"MMSF_Salb_1"
"3",3.05,0.0653,113,0.919,1.38,6,0.5,2.25,22.67,24.9,22.33,199.97,193.53,16.417,18.219,58.15,64.42,300.5,1801,97.75,"MMSF_Salb_1"
"4",0.93,0.0674,73,0.947,1.38,6,0.5,2.25,22.61,24.91,21.75,99.66,97.62,16.389,18.246,58.16,64.75,300.5,1800,97.75,"MMSF_Salb_1"
"5",-0.171,0.0763,52.5,1.04,1.34,6,0.5,2.25,22.66,24.81,22.16,49.75,49.98,16.443,18.475,58.19,65.38,300.5,1799,97.75,"MMSF_Salb_1"
"6",8.2,0.0747,197,1.01,1.33,6,0.5,2.25,22.6,24.78,22.22,400.91,383.76,16.483,18.465,58.55,65.6,300.5,1801,97.75,"MMSF_Salb_1"
"7",6.67,0.0576,190,0.812,1.38,6,0.5,2.25,22.63,24.82,22.27,400.1,386.16,16.485,18.078,58.44,64.09,300.5,1801,97.75,"MMSF_Salb_1"
"8",6.96,0.0355,258,0.535,1.46,6,0.5,2.25,22.55,24.97,21.73,600.93,586.4,16.514,17.563,58.81,62.55,300.5,1800,97.75,"MMSF_Salb_1"
"9",6.21,0.0246,365,0.382,1.5,6,0.5,2.25,22.42,25.05,21.93,800.76,787.77,16.541,17.291,59.38,62.08,300.5,1799,97.75,"MMSF_Salb_1"
"10",6.69,0.0191,404,0.297,1.49,6,0.5,2.25,22.26,24.92,21.49,999.89,985.95,16.495,17.077,59.86,61.91,300.5,1800,97.75,"MMSF_Salb_1"
"11",7.33,0.0198,567,0.306,1.49,6,0.5,2.25,22.43,24.79,21.96,1200.5,1185.14,16.317,16.919,58.57,60.73,300.5,1801,97.75,"MMSF_Salb_1"
"12",6.7,0.014,687,0.223,1.53,6,0.5,2.25,22.18,24.94,21.51,1500.33,1486.29,16.281,16.719,59.31,60.91,300.5,1799,97.77,"MMSF_Salb_1"
"13",7.34,0.0113,903,0.179,1.52,6,0.5,2.25,22.18,24.84,21.57,1999.79,1984.42,16.35,16.701,59.56,60.84,300.5,1800,97.76,"MMSF_Salb_1"
