"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",5.64,0.103,288,1.45,1.4,6,0.5,2.25,22.43,25.16,21.5,399.23,386.83,15.62,18.469,56.35,66.38,300.2,1799,97.89,"MMSF_Salb_3"
"2",4.1,0.106,219,1.45,1.37,6,0.5,2.25,22.29,24.98,21.5,298.54,289.51,15.632,18.469,56.81,66.92,300.2,1799,97.89,"MMSF_Salb_3"
"3",2.36,0.107,153,1.43,1.34,6,0.5,2.25,22.24,24.88,21.5,199.35,194.08,15.76,18.57,57.49,67.49,300.2,1799,97.88,"MMSF_Salb_3"
"4",0.455,0.116,89.9,1.52,1.31,6,0.5,2.25,22.35,24.85,21.7,99.74,98.53,15.85,18.828,57.46,67.99,300.2,1799,97.88,"MMSF_Salb_3"
"5",-0.443,0.13,56.4,1.65,1.29,6,0.5,2.25,22.48,24.87,21.89,51.16,51.87,15.864,19.106,57.01,68.43,300.2,1799,97.87,"MMSF_Salb_3"
"6",5.13,0.136,317,1.73,1.28,6,0.5,2.25,22.5,24.9,21.89,399.92,388.33,15.812,19.199,56.56,68.68,300.2,1799,97.87,"MMSF_Salb_3"
"7",5.25,0.113,303,1.51,1.33,6,0.5,2.25,22.51,24.96,21.89,399.5,387.84,15.879,18.833,56.97,67.37,300.2,1799,97.87,"MMSF_Salb_3"
"8",6.99,0.088,440,1.25,1.4,6,0.5,2.25,22.51,25.04,21.89,599.12,583.7,15.778,18.224,56.41,65.17,300.2,1800,97.88,"MMSF_Salb_3"
"9",7.52,0.0598,562,0.911,1.49,6,0.5,2.25,22.52,25.17,21.89,800.98,784.53,15.767,17.557,56.44,62.74,300.2,1800,97.88,"MMSF_Salb_3"
"10",8.14,0.0492,690,0.764,1.52,6,0.5,2.25,22.27,25.12,21.5,998.92,981.16,15.73,17.231,57.15,62.51,300.2,1800,97.88,"MMSF_Salb_3"
"11",8.31,0.0407,824,0.643,1.54,6,0.5,2.25,22.24,25.1,21.5,1199.76,1181.63,15.72,16.983,57.23,61.73,300.2,1799,97.88,"MMSF_Salb_3"
"12",9.08,0.0355,1030,0.569,1.56,6,0.5,2.25,22.23,25.1,21.5,1499.61,1479.78,15.67,16.788,57.05,61.06,300.2,1799,97.88,"MMSF_Salb_3"
"13",9.88,0.0311,1420,0.506,1.57,6,0.5,2.25,22.23,25.11,21.5,1999.67,1977.93,15.618,16.613,56.82,60.44,300.2,1799,97.88,"MMSF_Salb_3"
