"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",6.38,0.142,302,1.79,1.27,6,0.5,2.25,22.89,25.15,22.07,399.36,385.23,16.27,19.771,57.09,69.07,300.2,1799,97.85,"MMSF_Uame_3"
"2",4.61,0.139,228,1.73,1.26,6,0.5,2.25,22.76,25.02,22.09,299.41,289.2,16.276,19.671,57.48,69.25,300.2,1799,97.85,"MMSF_Uame_3"
"3",2.68,0.139,159,1.7,1.24,6,0.5,2.25,22.72,24.93,22.09,200.86,194.84,16.389,19.711,58.08,69.56,300.2,1799,97.84,"MMSF_Uame_3"
"4",0.631,0.153,89.4,1.8,1.2,6,0.5,2.25,22.7,24.84,22.09,99.81,98.19,16.44,19.966,58.35,70.56,300.2,1799,97.83,"MMSF_Uame_3"
"5",-0.438,0.176,55.2,2,1.17,6,0.5,2.25,22.94,24.87,22.48,51.28,51.94,16.391,20.305,57.31,70.72,300.2,1799,97.82,"MMSF_Uame_3"
"6",6.5,0.197,321,2.17,1.14,6,0.5,2.25,22.98,24.89,22.48,399.39,384.73,16.424,20.666,57.36,71.79,300.2,1799,97.82,"MMSF_Uame_3"
"7",6.5,0.206,324,2.25,1.14,6,0.5,2.25,22.99,24.92,22.48,399.63,384.9,16.319,20.726,56.91,71.96,300.2,1799,97.82,"MMSF_Uame_3"
"8",8.27,0.127,461,1.65,1.31,6,0.5,2.25,22.99,25.11,22.48,599.52,581.07,16.122,19.362,55.95,67.22,300.2,1799,97.82,"MMSF_Uame_3"
"9",5.31,0.0328,510,0.517,1.52,6,0.5,2.25,22.42,25.03,21.7,799.93,788.5,15.964,16.979,57.36,61.01,300.2,1800,97.82,"MMSF_Uame_3"
"10",7.09,0.0327,612,0.511,1.52,6,0.5,2.25,22.4,24.97,21.7,999.58,984.4,15.943,16.948,57.44,60.97,300.2,1800,97.82,"MMSF_Uame_3"
"11",9.09,0.0378,766,0.586,1.5,6,0.5,2.25,22.39,24.94,21.7,1200.26,1180.71,15.867,17.017,57.11,61.26,300.2,1800,97.82,"MMSF_Uame_3"
"12",7.73,0.0245,943,0.394,1.55,6,0.5,2.25,22.4,25,21.7,1500.1,1483.48,15.869,16.644,57.1,59.89,300.2,1799,97.82,"MMSF_Uame_3"
"13",9.78,0.0255,1320,0.41,1.55,6,0.5,2.25,22.4,25.02,21.7,1999.75,1978.58,15.892,16.698,57.16,60.06,300.2,1799,97.81,"MMSF_Uame_3"
