"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",32.5,0.341,155,3.53,1.15,6,0.5,2.25,22.9,25.45,21.46,399.83,332.47,14.57,21.481,51.31,75.65,300.1,1800,98.7,"SEPAC_Zmay_8"
"2",28.1,0.4,108,3.77,1.07,6,0.5,2.25,22.73,25.27,21.3,298.74,240.68,14.576,21.944,51.86,78.08,300.1,1800,98.69,"SEPAC_Zmay_8"
"3",21.7,0.481,67.3,4.17,1.01,6,0.5,2.25,22.95,25.45,21.52,199.44,154.68,14.722,22.869,51.68,80.28,300.1,1799,98.69,"SEPAC_Zmay_8"
"4",12.1,0.572,32.6,4.57,0.96,6,0.5,2.25,23.24,25.68,21.8,99.53,74.64,14.894,23.812,51.39,82.15,300.1,1800,98.69,"SEPAC_Zmay_8"
"5",6.37,0.607,17.1,4.75,0.952,6,0.5,2.25,23.49,25.92,22.06,51.25,38.15,15.104,24.372,51.34,82.83,300.1,1799,98.69,"SEPAC_Zmay_8"
"6",0.142,0.669,2.75,5.01,0.929,6,0.5,2.25,23.77,26.17,22.33,3.54,3.22,15.359,25.115,51.3,83.89,300.1,1800,98.69,"SEPAC_Zmay_8"
"7",33.8,0.541,204,4.65,1.02,6,0.5,2.25,23.85,26.33,22.4,399.62,329.08,15.463,24.528,51.39,81.52,300.1,1800,98.67,"SEPAC_Zmay_8"
"8",33.6,0.468,191,4.4,1.09,6,0.5,2.25,23.89,26.43,22.44,400.47,330.48,15.484,24.061,51.36,79.82,300.1,1799,98.68,"SEPAC_Zmay_8"
"9",34.5,0.323,326,3.79,1.28,6,0.5,2.25,24.1,26.86,22.65,600.35,527.35,15.563,22.957,50.98,75.21,300.1,1800,98.68,"SEPAC_Zmay_8"
"10",34.9,0.204,416,2.94,1.51,6,0.5,2.25,24.33,27.28,22.88,799.81,725.75,15.838,21.596,51.16,69.76,300.1,1799,98.67,"SEPAC_Zmay_8"
