"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",5.76,0.102,284,1.6,1.59,6,0.5,2.25,24.22,25.11,24.43,399.39,386.64,13.037,16.18,42.9,53.04,300.2,1799,99.46,"UMBS_Arub_8"
"2",3.51,0.0825,214,1.35,1.65,6,0.5,2.25,23.87,25.17,23.84,298.44,290.63,13.068,15.726,43.89,52.65,300.2,1799,99.46,"UMBS_Arub_8"
"3",1.65,0.0684,153,1.14,1.67,6,0.5,2.25,23.68,25.1,23.65,201.23,197.49,13.085,15.336,44.41,51.91,300.2,1799,99.46,"UMBS_Arub_8"
"4",0.168,0.0735,92.8,1.21,1.65,6,0.5,2.25,23.67,25.05,23.65,99.72,99.14,13.127,15.503,44.61,52.53,300.2,1799,99.46,"UMBS_Arub_8"
"5",-0.639,0.0832,62.6,1.34,1.62,6,0.5,2.25,23.66,25.05,23.65,50.25,51.39,13.176,15.803,44.79,53.55,300.2,1800,99.47,"UMBS_Arub_8"
"6",5.63,0.0928,280,1.45,1.58,6,0.5,2.25,23.65,25,23.65,401.15,388.76,13.213,16.07,44.96,54.49,300.2,1800,99.47,"UMBS_Arub_8"
"7",5.73,0.0895,272,1.41,1.59,6,0.5,2.25,23.66,25.02,23.65,399.24,386.7,13.284,16.051,45.23,54.42,300.2,1799,99.47,"UMBS_Arub_8"
"8",8.87,0.0819,388,1.3,1.6,6,0.5,2.25,23.65,25.01,23.65,598.38,579.15,13.331,15.894,45.39,53.9,300.2,1799,99.47,"UMBS_Arub_8"
"9",11.6,0.0815,523,1.31,1.61,6,0.5,2.25,23.68,25.07,23.65,800.79,775.5,13.334,15.901,45.29,53.85,300.2,1799,99.47,"UMBS_Arub_8"
"10",13.3,0.0842,687,1.35,1.62,6,0.5,2.25,23.69,25.13,23.65,1000.24,970.98,13.308,15.964,45.02,54.01,300.2,1800,99.47,"UMBS_Arub_8"
"11",13.7,0.0823,867,1.31,1.61,6,0.5,2.25,23.47,25.1,23.25,1198.97,1168.52,13.413,15.999,46.14,54.87,300.2,1799,99.47,"UMBS_Arub_8"
"12",14.4,0.0841,1150,1.33,1.59,6,0.5,2.25,23.42,25.05,23.26,1500.6,1467.81,13.41,16.028,46.13,55.14,300.2,1799,99.47,"UMBS_Arub_8"
"13",14.9,0.0837,1630,1.31,1.58,6,0.5,2.25,23.4,24.99,23.26,1999.79,1964.94,13.467,16.049,46.36,55.25,300.2,1799,99.47,"UMBS_Arub_8"
