"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",16.8,0.312,262,2.98,1.04,6,0.5,2.25,24.73,25.11,25.68,399.6,363.77,16.118,21.962,50.66,69.02,299.6,1800,98.31,"UMBS_Bpap_3"
"2",12.3,0.299,196,2.89,1.05,6,0.5,2.25,24.92,25.06,25.27,299.03,272.92,16.171,21.824,50.59,67.79,299.6,1801,98.31,"UMBS_Bpap_3"
"3",8.01,0.333,137,3.04,1,6,0.5,2.25,24.94,24.7,25.51,199.85,182.7,15.628,21.576,48.51,66.98,299.6,1799,98.32,"UMBS_Bpap_3"
"4",2.72,0.319,77.6,3.04,1.04,6,0.5,2.25,25.33,24.95,25.86,100.48,94.45,15.673,21.633,47.89,65.59,299.6,1799,98.32,"UMBS_Bpap_3"
"5",0.0448,0.328,48.4,3.15,1.05,6,0.5,2.25,25.17,25.06,25.47,49.92,49.52,15.561,21.735,48.01,66.52,299.6,1799,98.33,"UMBS_Bpap_3"
"6",16.9,0.339,267,3.22,1.05,6,0.5,2.25,24.67,25.03,24.7,399.13,362.85,15.435,21.748,49.09,68.61,299.6,1799,98.33,"UMBS_Bpap_3"
"7",16.7,0.338,268,3.26,1.06,6,0.5,2.25,24.75,25.14,24.9,398.27,362.47,15.394,21.786,48.74,68.39,299.6,1799,98.33,"UMBS_Bpap_3"
"8",24.8,0.364,415,3.41,1.04,6,0.5,2.25,24.56,25.04,24.5,600.54,547.1,15.12,21.805,48.06,69.21,299.6,1800,98.33,"UMBS_Bpap_3"
"9",28.5,0.34,574,3.28,1.06,6,0.5,2.25,24.56,25.14,24.5,798.22,736.41,15.371,21.799,49.21,69.2,299.6,1800,98.34,"UMBS_Bpap_3"
"10",30.7,0.345,754,3.29,1.05,6,0.5,2.25,24.82,25.1,24.89,997.26,929.72,15.41,21.848,48.59,68.31,299.6,1801,98.34,"UMBS_Bpap_3"
"11",32.7,0.351,939,3.3,1.04,6,0.5,2.25,24.29,25.02,24.11,1199.21,1126.2,15.307,21.781,49.64,70.29,299.6,1800,98.34,"UMBS_Bpap_3"
"12",33.6,0.367,1240,3.34,1.01,6,0.5,2.25,24.27,24.87,24.11,1501.17,1424.41,15.277,21.812,49.36,70.47,299.6,1800,98.34,"UMBS_Bpap_3"
"13",32.2,0.344,1720,3.22,1.03,6,0.5,2.25,24.4,25.02,24.31,1997.35,1920.41,15.546,21.861,50.24,70.07,299.6,1799,98.34,"UMBS_Bpap_3"
