"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",11.7,0.196,265,2.48,1.34,6,0.5,2.25,23.77,25.16,23.45,399.81,374.5,13.976,18.845,47.06,63.46,300.2,1799,99.47,"UMBS_Pstr_2"
"2",7.53,0.187,209,2.39,1.34,6,0.5,2.25,23.69,25.11,23.45,300.29,283.89,14.023,18.702,47.45,63.29,300.2,1799,99.48,"UMBS_Pstr_2"
"3",3.19,0.175,157,2.28,1.36,6,0.5,2.25,23.67,25.14,23.45,199.4,192.15,14.059,18.533,47.64,62.8,300.2,1799,99.48,"UMBS_Pstr_2"
"4",-1.39,0.163,114,2.16,1.38,6,0.5,2.25,23.4,25.12,23.06,99.43,101.77,14.097,18.331,48.54,63.13,300.2,1799,99.48,"UMBS_Pstr_2"
"5",-3.34,0.152,92.5,2.04,1.39,6,0.5,2.25,23.35,25.07,23.06,50.55,56.99,14.117,18.125,48.76,62.61,300.2,1799,99.48,"UMBS_Pstr_2"
"6",10.1,0.133,245,1.84,1.42,6,0.5,2.25,23.33,25.05,23.06,400.77,379.21,14.221,17.831,49.37,61.66,300.2,1799,99.48,"UMBS_Pstr_2"
"7",9.84,0.126,240,1.77,1.43,6,0.5,2.25,23.33,25.07,23.07,399.17,378.15,14.219,17.691,49.36,61.17,300.2,1799,99.48,"UMBS_Pstr_2"
"8",15.8,0.116,328,1.67,1.47,6,0.5,2.25,23.34,25.12,23.06,599.89,566.4,14.146,17.432,48.9,60.26,300.2,1799,99.48,"UMBS_Pstr_2"
"9",20.2,0.0993,405,1.48,1.51,6,0.5,2.25,23.08,25.12,22.67,799.62,757.03,14.154,17.055,49.7,59.89,300.2,1799,99.49,"UMBS_Pstr_2"
"10",23.7,0.0885,490,1.34,1.53,6,0.5,2.25,23.05,25.1,22.67,999.47,949.62,14.164,16.8,49.84,59.11,300.2,1800,99.49,"UMBS_Pstr_2"
"11",26,0.0782,574,1.21,1.56,6,0.5,2.25,23.04,25.12,22.67,1199.84,1145.02,14.171,16.551,49.88,58.26,300.2,1800,99.49,"UMBS_Pstr_2"
"12",28.9,0.0673,705,1.06,1.58,6,0.5,2.25,22.89,25.08,22.48,1500.03,1439.14,14.185,16.269,50.39,57.8,300.2,1800,99.49,"UMBS_Pstr_2"
"13",32.6,0.0576,967,0.922,1.59,6,0.5,2.25,22.87,25.02,22.48,2000.53,1931.74,14.163,15.977,50.38,56.84,300.2,1800,99.49,"UMBS_Pstr_2"
