"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",4.28,0.881,371,6.33,0.968,6,0.5,2.25,27.04,24.57,27.83,400.22,386.73,9.053,21.468,25.06,59.43,299.6,1801,99.3,"UMBS_Pstr_4"
"2",3.64,0.857,275,6.36,0.991,6,0.5,2.25,27.33,24.67,28.21,299.94,288.96,8.943,21.412,24.33,58.27,299.6,1799,99.3,"UMBS_Pstr_4"
"3",2.95,0.858,182,6.41,0.997,6,0.5,2.25,27.5,24.75,28.68,200.14,191.78,8.96,21.515,24.16,58,299.6,1800,99.3,"UMBS_Pstr_4"
"4",0.595,0.878,94.6,6.69,1.02,6,0.5,2.25,27.4,25.22,27.99,100.06,97.56,9.034,22.143,24.48,60.01,299.6,1799,99.3,"UMBS_Pstr_4"
"5",-0.257,0.901,51.8,6.57,0.987,6,0.5,2.25,26.29,24.98,26.34,52.14,51.97,9.169,22.041,26.52,63.75,299.6,1799,99.31,"UMBS_Pstr_4"
"6",5.63,0.883,365,6.41,0.977,6,0.5,2.25,26,24.86,26.06,400.76,384.55,9.364,21.919,27.55,64.49,299.6,1799,99.31,"UMBS_Pstr_4"
"7",4.75,0.873,368,6.33,0.973,6,0.5,2.25,25.99,24.82,26.12,399.79,385.4,9.467,21.877,27.88,64.43,299.6,1800,99.3,"UMBS_Pstr_4"
"8",8.32,0.807,546,6.15,1,6,0.5,2.25,26.11,24.9,26.26,600.55,576.77,9.701,21.757,28.74,63.63,299.6,1800,99.3,"UMBS_Pstr_4"
"9",11.6,0.526,713,5.13,1.16,6,0.5,2.25,26.56,24.7,27.47,800.76,769.54,9.659,19.73,27.51,56.18,299.6,1800,99.29,"UMBS_Pstr_4"
"10",14.9,0.316,857,3.99,1.39,6,0.5,2.25,27.14,24.66,28.15,999.54,962.05,9.499,17.343,26.15,47.77,299.6,1800,99.29,"UMBS_Pstr_4"
"11",15.8,0.218,1010,3.26,1.59,6,0.5,2.25,26.88,24.91,27.63,1200.46,1161.18,9.397,15.823,26.26,44.22,299.6,1800,99.29,"UMBS_Pstr_4"
"12",17.2,0.188,1260,2.99,1.67,6,0.5,2.25,26.69,25.13,27.24,1498.42,1455.3,9.538,15.43,27.2,43.58,299.6,1800,99.28,"UMBS_Pstr_4"
"13",18.9,0.179,1720,2.93,1.71,6,0.5,2.25,26.01,25.24,26.03,1999.38,1950.03,9.522,15.293,28,44.97,299.6,1799,99.28,"UMBS_Pstr_4"
