"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1.87,0.021,243,0.381,1.76,6,0.5,2.25,21.88,25.11,20.91,399.85,395.8,13.835,14.586,51.81,54.56,300.2,1799,98.57,"UMBS_Qrub_8"
"2",1.53,0.0288,203,0.498,1.69,6,0.5,2.25,21.74,24.89,20.91,298.73,295.38,13.957,14.938,52.74,56.38,300.2,1800,98.57,"UMBS_Qrub_8"
"3",0.865,0.0376,157,0.632,1.64,6,0.5,2.25,22.05,24.88,21.5,201.21,199.23,14.108,15.35,52.33,56.84,300.2,1799,98.57,"UMBS_Qrub_8"
"4",0.058,0.0483,94.8,0.785,1.6,6,0.5,2.25,22.1,24.85,21.5,99.58,99.31,14.222,15.767,52.63,58.21,300.2,1800,98.58,"UMBS_Qrub_8"
"5",-0.487,0.0596,63.6,0.947,1.57,6,0.5,2.25,22.25,24.92,21.7,50.82,51.69,14.32,16.181,52.54,59.2,300.2,1799,98.57,"UMBS_Qrub_8"
"6",3.76,0.0775,303,1.19,1.52,6,0.5,2.25,22.29,24.97,21.7,399.73,391.28,14.414,16.747,52.75,61.13,300.2,1800,98.57,"UMBS_Qrub_8"
"7",3.83,0.0778,301,1.19,1.52,6,0.5,2.25,22.31,25.03,21.7,399.59,391,14.514,16.857,53.09,61.46,300.2,1799,98.57,"UMBS_Qrub_8"
"8",5.52,0.0644,433,1.03,1.58,6,0.5,2.25,22.25,25.18,21.47,598.6,586.36,14.568,16.589,53.42,60.7,300.2,1799,98.58,"UMBS_Qrub_8"
"9",5.82,0.0348,501,0.581,1.63,6,0.5,2.25,21.56,25.04,20.52,801.47,788.92,14.667,15.81,55.96,60.33,300.2,1799,98.57,"UMBS_Qrub_8"
"10",6.24,0.0274,596,0.457,1.63,6,0.5,2.25,21.5,24.93,20.52,999.27,985.89,14.735,15.634,56.43,59.88,300.2,1799,98.57,"UMBS_Qrub_8"
"11",6.51,0.0234,711,0.39,1.62,6,0.5,2.25,21.46,24.86,20.52,1198.9,1184.97,14.803,15.57,56.88,59.77,300.2,1800,98.58,"UMBS_Qrub_8"
"12",7.05,0.0187,842,0.314,1.63,6,0.5,2.25,21.69,24.89,20.92,1497.85,1482.83,14.854,15.472,56.3,58.59,300.2,1800,98.57,"UMBS_Qrub_8"
"13",7.7,0.0152,1120,0.26,1.66,6,0.5,2.25,21.72,24.99,20.92,1998.36,1981.95,14.889,15.4,56.32,58.21,300.2,1799,98.57,"UMBS_Qrub_8"
