"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",6.93,0.0765,228,1.18,1.55,6,0.5,2.25,22.64,25.21,21.35,399.2,384.46,14.413,16.729,52.25,60.44,300.5,1800,99.7,"Auburn_Mgra_4"
"2",4.79,0.0748,178,1.14,1.53,6,0.5,2.25,22.62,25.06,21.55,299.3,289.08,14.466,16.698,52.51,60.42,300.5,1799,99.7,"Auburn_Mgra_4"
"3",2.79,0.0751,128,1.15,1.53,6,0.5,2.25,22.88,25.12,21.95,199.29,193.27,14.481,16.733,51.7,59.59,300.5,1799,99.7,"Auburn_Mgra_4"
"4",0.694,0.074,80.2,1.13,1.53,6,0.5,2.25,22.84,25.12,21.77,99.44,97.84,14.533,16.75,52.02,59.81,300.5,1801,99.69,"Auburn_Mgra_4"
"5",-0.266,0.0754,55.1,1.15,1.53,6,0.5,2.25,22.97,25.15,22.15,50.21,50.62,14.594,16.846,51.82,59.67,300.5,1801,99.69,"Auburn_Mgra_4"
"6",7.09,0.0775,227,1.19,1.54,6,0.5,2.25,23.07,25.28,22.15,400.59,385.52,14.633,16.965,51.51,59.71,300.5,1800,99.69,"Auburn_Mgra_4"
"7",7.1,0.0773,226,1.18,1.54,6,0.5,2.25,23.09,25.3,22.15,399.8,384.71,14.682,17.008,51.63,59.8,300.5,1800,99.69,"Auburn_Mgra_4"
"8",10.8,0.0763,333,1.1,1.45,6,0.5,2.25,22.43,24.78,20.77,599.92,577.03,14.826,16.979,54.34,62.09,300.5,1799,99.69,"Auburn_Mgra_4"
"9",14.2,0.0739,439,1.08,1.47,6,0.5,2.25,22.29,24.94,21.17,798.55,768.59,14.944,17.063,55.28,62.97,300.5,1799,99.69,"Auburn_Mgra_4"
"10",17.4,0.0732,556,1.06,1.45,6,0.5,2.25,22.3,24.86,21.17,1000.37,963.68,14.973,17.054,55.22,62.9,300.5,1800,99.69,"Auburn_Mgra_4"
"11",19.8,0.0702,674,1.03,1.47,6,0.5,2.25,22.71,24.95,21.76,1201.04,1159.14,15.046,17.064,54.2,61.41,300.5,1800,99.68,"Auburn_Mgra_4"
"12",22.7,0.0674,871,0.976,1.45,6,0.5,2.25,22.58,24.84,21.81,1500.27,1452.08,15.129,17.045,54.9,61.85,300.5,1799,99.68,"Auburn_Mgra_4"
"13",24.8,0.0613,1250,0.894,1.46,6,0.5,2.25,22.08,24.84,20.77,2000.91,1947.86,15.239,16.993,56.96,63.52,300.5,1799,99.68,"Auburn_Mgra_4"
