"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",4.82,0.0431,201,0.713,1.65,6,0.5,2.25,23.13,25.19,22.73,400.34,390.14,14.17,15.577,50.14,55.03,299.6,1801,100.4,"BNZ_Bpap_1"
"2",3.54,0.0384,137,0.625,1.62,6,0.5,2.25,22.51,25.22,21.36,299.98,292.53,14.715,15.947,53.94,58.46,299.6,1799,100.4,"BNZ_Bpap_1"
"3",2.06,0.0347,94.7,0.622,1.78,6,0.5,2.25,22.23,26.43,20.89,199.74,195.36,15.483,16.708,57.74,62.32,299.6,1799,100.4,"BNZ_Bpap_1"
"4",0.493,0.0373,75,0.521,1.39,6,0.5,2.25,21.82,24.76,20.58,99.51,98.42,16.352,17.378,62.51,66.43,299.6,1801,100.4,"BNZ_Bpap_1"
"5",-0.202,0.0409,57.6,0.506,1.23,6,0.5,2.25,22.14,24.77,21.25,50.35,50.7,17.98,18.974,67.43,71.15,299.6,1799,100.4,"BNZ_Bpap_1"
"6",6.01,0.0413,146,0.481,1.16,6,0.5,2.25,22.27,25.03,21.16,399.8,387.4,19.235,20.179,71.6,75.05,299.6,1800,100.4,"BNZ_Bpap_1"
"7",6.07,0.0394,132,0.44,1.11,6,0.5,2.25,22.24,24.95,21.17,399.67,387.16,19.649,20.513,73.3,76.45,299.6,1800,100.4,"BNZ_Bpap_1"
"8",15,0.0733,418,0.92,1.27,6,0.5,2.25,22.56,24.92,21.75,799.01,767.54,17.075,18.883,62.43,69.04,299.6,1800,100.4,"BNZ_Bpap_1"
"9",17.6,0.0668,514,0.843,1.27,6,0.5,2.25,22.63,25.03,21.76,999.3,962.34,17.42,19.077,63.51,69.44,299.6,1799,100.4,"BNZ_Bpap_1"
"10",21,0.0649,609,0.746,1.16,6,0.5,2.25,21.39,24.57,19.69,1200.89,1157.07,17.873,19.338,70.17,75.92,299.6,1801,100.4,"BNZ_Bpap_1"
"11",24,0.0775,915,0.893,1.17,6,0.5,2.25,22.2,24.89,21.16,1498.91,1448.2,18.105,19.858,67.64,74.19,299.6,1800,100.4,"BNZ_Bpap_1"
"12",25,0.0735,1350,0.854,1.17,6,0.5,2.25,22.19,25.01,20.97,1999.34,1945.92,18.329,20.004,68.64,74.8,299.6,1799,100.4,"BNZ_Bpap_1"
