"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,6.84077953069071,0.0843165849131645,238,1.2170224048787,1.46,7.543,0.5,2.25,25.06,25,24.89,399.32,380.93,14.268,17.272,44.66,53.84,299.6,1800,99.45,"BNZ_Pmar_2"
"2",2,4.98740554156171,0.0867029033541031,185,1.2170224048787,1.42,7.543,0.5,2.25,25.05,24.84,25.09,299.87,286.44,14.348,17.355,44.92,54.1,299.6,1799,99.45,"BNZ_Pmar_2"
"3",3,2.95903486676389,0.0890892217950418,132,1.24088558928808,1.42,7.543,0.5,2.25,25.21,24.92,25.29,199.74,191.68,14.468,17.541,44.89,54.19,299.6,1800,99.45,"BNZ_Pmar_2"
"4",4,0.914755402359804,0.0906801007556675,77.2,1.26474877369747,1.42,7.543,0.5,2.25,25.26,25.03,25.29,98.8,96.18,14.603,17.729,45.17,54.59,299.6,1799,99.45,"BNZ_Pmar_2"
"5",5,-0.148747182818507,0.0914755402359804,51.3,1.28065756330373,1.43,7.543,0.5,2.25,25.32,25.17,25.29,49.55,49.76,14.767,17.943,45.51,55.06,299.6,1799,99.45,"BNZ_Pmar_2"
"6",6,6.89646029431261,0.093861858676919,252,1.28861195810685,1.39,7.543,0.5,2.25,24.95,25.09,24.7,400.1,381.51,14.929,18.113,46.97,56.8,299.6,1799,99.45,"BNZ_Pmar_2"
"7",7,6.93623226832825,0.0946572981572319,251,1.28861195810685,1.39,7.543,0.5,2.25,24.97,25.12,24.7,399.24,380.55,15.037,18.225,47.27,57.1,299.6,1799,99.44,"BNZ_Pmar_2"
"8",8,10.3407132440673,0.0970436165981705,382,1.30452074771311,1.37,7.543,0.5,2.25,24.64,25.14,24.12,599.93,571.95,15.262,18.477,48.91,59.02,299.6,1799,99.44,"BNZ_Pmar_2"
"9",9,13.6815590613814,0.0994299350391091,519,1.24883998409121,1.29,7.543,0.5,2.25,24.46,24.69,24.25,800.35,763.53,15.336,18.421,49.55,59.52,299.6,1801,99.44,"BNZ_Pmar_2"
"10",10,15.9883335542887,0.0922709797162932,650,1.20111361527244,1.33,7.543,0.5,2.25,25.75,24.81,26.44,999.86,956.69,15.28,18.256,45.7,54.6,299.6,1801,99.43,"BNZ_Pmar_2"
"11",11,17.4201246188519,0.0882937823147289,803,1.20906801007557,1.39,7.543,0.5,2.25,26.29,25.14,27.05,1199.64,1152.35,15.279,18.273,44.4,52.93,299.6,1800,99.44,"BNZ_Pmar_2"
"12",12,19.5678112156967,0.0906801007556675,1060,1.24088558928808,1.39,7.543,0.5,2.25,25.87,25.14,26.27,1501.09,1447.22,15.178,18.249,45.06,54.18,299.6,1799,99.43,"BNZ_Pmar_2"
"13",13,20.2837067479783,0.0914755402359804,1530,1.23293119448495,1.38,7.543,0.5,2.25,25.81,25.02,26.26,1999.55,1942.49,15.107,18.159,45.04,54.13,299.6,1799,99.43,"BNZ_Pmar_2"
