"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",17.2,0.438,284,3.92,1.01,6,0.5,2.25,24.65,24.79,24.86,400.52,363.19,14.124,21.809,44.22,68.3,299.6,1800,97.48,"BNZ_Ptre_3"
"2",12.4,0.333,200,3.38,1.11,6,0.5,2.25,24.42,24.86,24.51,298.56,271.84,14.377,21.007,46.04,66.66,299.6,1799,97.48,"BNZ_Ptre_3"
"3",7.63,0.315,136,3.29,1.13,6,0.5,2.25,24.83,24.87,25.28,199.01,182.53,14.35,20.794,44.84,64.39,299.6,1799,97.48,"BNZ_Ptre_3"
"4",2.65,0.297,75.3,3.19,1.15,6,0.5,2.25,24.95,24.85,25.49,98.67,92.77,14.216,20.482,44.11,62.98,299.6,1801,97.48,"BNZ_Ptre_3"
"5",0.0855,0.302,47.7,3.31,1.18,6,0.5,2.25,25.01,24.97,25.48,49.61,49.11,13.935,20.436,42.7,62.62,299.6,1799,97.48,"BNZ_Ptre_3"
"6",16.4,0.287,257,3.23,1.21,6,0.5,2.25,25.09,25.14,25.48,399.26,364.16,14.188,20.526,43.66,62.59,299.6,1799,97.48,"BNZ_Ptre_3"
"7",16.5,0.287,254,3.23,1.21,6,0.5,2.25,24.98,25.15,25.28,398.43,362.97,14.205,20.544,43.98,63.04,299.6,1800,97.48,"BNZ_Ptre_3"
"8",24.5,0.284,384,3.2,1.2,6,0.5,2.25,24.85,25.12,25.08,598.39,545.93,14.253,20.521,44.48,63.48,299.6,1800,97.48,"BNZ_Ptre_3"
"9",30.8,0.282,525,3.17,1.2,6,0.5,2.25,24.86,25.12,25.08,797.73,731.39,14.326,20.543,44.68,63.51,299.6,1799,97.48,"BNZ_Ptre_3"
"10",36.9,0.293,680,3.28,1.2,6,0.5,2.25,24.87,25.14,25.08,1000.09,920.12,14.156,20.586,43.74,63.61,299.6,1799,97.48,"BNZ_Ptre_3"
"11",38.7,0.279,847,3.13,1.19,6,0.5,2.25,24.77,25.13,24.9,1195.97,1111.51,14.477,20.612,45.38,64.06,299.6,1799,97.48,"BNZ_Ptre_3"
"12",43.3,0.292,1120,3.14,1.15,6,0.5,2.25,24.11,24.87,23.93,1500.59,1405.07,14.37,20.529,46.45,66.35,299.6,1800,97.48,"BNZ_Ptre_3"
"13",45.6,0.288,1580,3.08,1.15,6,0.5,2.25,24.41,24.87,24.51,1999.02,1895.9,14.561,20.605,46.45,65.42,299.6,1800,97.48,"BNZ_Ptre_3"
