"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",11.4,0.194,268,2.28,1.25,6,0.5,2.25,25.09,24.9,25.08,399.52,375.05,14.673,19.155,46.09,59.88,299.6,1801,99.91,"Blandy_Ltul_3"
"2",7.88,0.156,192,2.13,1.42,6,0.5,2.25,25.01,25.58,24.86,299.55,282.57,14.59,18.766,45.81,58.93,299.6,1801,99.91,"Blandy_Ltul_3"
"3",4.36,0.138,133,1.83,1.37,6,0.5,2.25,23.5,25.14,22.92,199.46,190.02,14.76,18.355,50.99,63.1,299.6,1801,99.9,"Blandy_Ltul_3"
"4",1.21,0.142,80.6,1.82,1.33,6,0.5,2.25,25.56,24.83,26.09,99.64,96.86,14.637,18.221,44.66,55.38,299.6,1800,99.9,"Blandy_Ltul_3"
"5",-0.372,0.126,54.4,1.73,1.41,6,0.5,2.25,25.71,25.13,26.07,50.11,50.68,14.574,17.978,44.06,54.15,299.6,1801,99.9,"Blandy_Ltul_3"
"6",9.11,0.111,237,1.55,1.43,6,0.5,2.25,25.3,24.96,25.48,400.05,380.62,14.428,17.474,44.54,53.95,299.6,1801,99.9,"Blandy_Ltul_3"
"7",8.41,0.0976,231,1.39,1.45,6,0.5,2.25,25.29,24.97,25.48,399.33,381.42,14.507,17.248,44.98,53.28,299.6,1801,99.9,"Blandy_Ltul_3"
"8",12,0.0843,330,1.25,1.5,6,0.5,2.25,25.29,25,25.48,600.88,575.45,14.347,16.808,44.3,51.91,299.6,1801,99.9,"Blandy_Ltul_3"
"9",13.2,0.0647,424,0.953,1.48,6,0.5,2.25,24.5,24.55,24.65,800.21,772.34,14.314,16.193,46.34,52.42,299.6,1800,99.91,"Blandy_Ltul_3"
"10",13.5,0.049,506,0.747,1.52,6,0.5,2.25,24.78,24.58,25.4,999.99,971.58,14.361,15.834,45.77,50.46,299.6,1800,99.91,"Blandy_Ltul_3"
"11",12.9,0.0374,590,0.597,1.58,6,0.5,2.25,25.06,24.82,25.3,1200.37,1173.12,14.449,15.626,45.23,48.92,299.6,1799,99.91,"Blandy_Ltul_3"
"12",12.9,0.0286,714,0.48,1.66,6,0.5,2.25,25.21,25.14,25.28,1500.76,1473.54,14.533,15.48,45.1,48.04,299.6,1799,99.91,"Blandy_Ltul_3"
"13",13.8,0.0233,976,0.394,1.67,6,0.5,2.25,25.05,25.11,25.08,2000.75,1971.57,14.584,15.361,45.68,48.12,299.6,1800,99.91,"Blandy_Ltul_3"
