"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",16.4,0.287,258,2.9,1.1,6,0.5,2.25,25.07,25.1,25,399.41,364.57,15.416,21.098,48.24,65.64,300.2,1799,99.35,"Blandy_Ppal_4"
"2",12,0.282,195,2.86,1.1,6,0.5,2.25,25.04,25.07,25,299.61,274.07,15.419,21.022,48.33,65.52,300.2,1799,99.35,"Blandy_Ppal_4"
"3",7.33,0.274,135,2.82,1.11,6,0.5,2.25,25.03,25.07,25,200.72,185.02,15.424,20.933,48.37,65.28,300.2,1799,99.35,"Blandy_Ppal_4"
"4",2.24,0.267,78.5,2.77,1.12,6,0.5,2.25,25.03,25.07,25,99.85,94.85,15.433,20.853,48.4,65.04,300.2,1799,99.34,"Blandy_Ppal_4"
"5",-0.303,0.26,52.2,2.73,1.13,6,0.5,2.25,25.03,25.09,25,50.75,51.07,15.442,20.778,48.43,64.82,300.2,1799,99.34,"Blandy_Ppal_4"
"6",15.4,0.251,254,2.69,1.15,6,0.5,2.25,25.03,25.1,25,400.97,368.13,15.338,20.598,47.97,64.26,300.2,1800,99.34,"Blandy_Ppal_4"
"7",15,0.24,252,2.6,1.16,6,0.5,2.25,25.03,25.12,25,399.48,367.53,15.44,20.539,48.41,64.06,300.2,1800,99.34,"Blandy_Ppal_4"
"8",21.6,0.232,382,2.57,1.18,6,0.5,2.25,25.04,25.15,25,599.87,553.77,15.33,20.365,47.8,63.49,300.2,1800,99.34,"Blandy_Ppal_4"
"9",25.7,0.212,523,2.42,1.21,6,0.5,2.25,24.91,25.14,24.82,800.11,745.11,15.34,20.088,48.19,63.11,300.2,1800,99.34,"Blandy_Ppal_4"
"10",26.4,0.198,698,2.31,1.23,6,0.5,2.25,24.77,25.1,24.62,1000.32,943.28,15.351,19.868,48.64,62.95,300.2,1800,99.34,"Blandy_Ppal_4"
"11",26.1,0.179,873,2.14,1.25,6,0.5,2.25,24.74,25.09,24.63,1200.34,1143.24,15.367,19.57,48.75,62.08,300.2,1800,99.34,"Blandy_Ppal_4"
"12",27.3,0.156,1120,1.95,1.29,6,0.5,2.25,24.73,25.1,24.63,1500.04,1439.8,15.385,19.199,48.83,60.95,300.2,1800,99.33,"Blandy_Ppal_4"
"13",28.6,0.126,1520,1.67,1.35,6,0.5,2.25,24.73,25.14,24.63,1999.48,1935.91,15.4,18.678,48.88,59.29,300.2,1800,99.32,"Blandy_Ppal_4"
