"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",6.38,0.0876,258,1.14,1.31,6,0.5,2.25,25.89,25.24,26.47,399.31,385.69,17.126,19.365,50.59,57.19,300.5,1800,99.02,"Blandy_Qalb_1"
"2",4.67,0.0866,196,1.17,1.36,6,0.5,2.25,25.65,25.52,25.51,300.26,290.25,17.13,19.427,51.32,58.2,300.5,1800,99.02,"Blandy_Qalb_1"
"3",2.79,0.0999,144,1.15,1.16,6,0.5,2.25,24.01,24.48,23.65,199.78,193.77,17.155,19.407,56.69,64.13,300.5,1799,99.01,"Blandy_Qalb_1"
"4",0.708,0.114,86.5,1.31,1.16,6,0.5,2.25,24.32,24.67,24.34,100.23,98.56,17.175,19.742,55.71,64.03,300.5,1800,99.01,"Blandy_Qalb_1"
"5",-0.512,0.134,55.9,1.41,1.08,6,0.5,2.25,24.6,24.32,24.69,49.54,50.42,17.179,19.938,54.79,63.58,300.5,1799,99.01,"Blandy_Qalb_1"
"6",7.29,0.125,280,1.5,1.21,6,0.5,2.25,25.36,25.12,25.48,399.98,384.26,17.169,20.096,52.33,61.25,300.5,1799,99,"Blandy_Qalb_1"
"7",7.23,0.126,282,1.43,1.15,6,0.5,2.25,25.04,24.72,25.04,400.06,384.53,17.176,19.965,53.35,62.02,300.5,1799,99,"Blandy_Qalb_1"
"8",10.1,0.117,426,1.33,1.15,6,0.5,2.25,24.82,24.64,25.01,601.17,579.44,17.183,19.793,54.1,62.32,300.5,1799,98.99,"Blandy_Qalb_1"
"9",11.7,0.0923,551,1.14,1.24,6,0.5,2.25,24.62,24.93,24.72,799.01,773.98,17.249,19.477,55.04,62.02,300.5,1799,98.99,"Blandy_Qalb_1"
"10",14,0.0831,677,0.979,1.18,6,0.5,2.25,23.4,24.42,21.95,1001.17,971.33,17.2,19.119,58.9,65.47,300.5,1799,98.99,"Blandy_Qalb_1"
"11",14.8,0.0797,842,0.992,1.24,6,0.5,2.25,25.02,24.77,25.39,1199.96,1168.17,17.19,19.134,53.49,59.54,300.5,1799,98.98,"Blandy_Qalb_1"
"12",15.4,0.0664,1060,0.898,1.34,6,0.5,2.25,25.41,25.24,25.48,1499.12,1465.74,17.248,19.008,52.49,57.73,300.5,1799,98.97,"Blandy_Qalb_1"
"13",17.7,0.0625,1460,0.803,1.28,6,0.5,2.25,24.66,24.74,25.2,2000.22,1961.81,17.177,18.751,54.62,59.61,300.5,1799,98.96,"Blandy_Qalb_1"
