"","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",15.9,0.793,317,5.81,0.956,6,0.5,2.25,24.55,24.84,24.04,399.83,363.66,10.727,22.107,34.74,70.8,299.6,1800,99.16,"Fermi_Gmax_5"
"2",12.4,0.731,233,5.6,0.981,6,0.5,2.25,24.76,24.81,24.89,299.82,271.98,10.844,21.821,34.67,69.02,299.6,1800,99.16,"Fermi_Gmax_5"
"3",7.83,0.667,155,5.48,1.03,6,0.5,2.25,24.95,25.01,25.08,199.48,181.8,10.978,21.714,34.69,67.91,299.6,1799,99.16,"Fermi_Gmax_5"
"4",2.45,0.624,84.3,5.34,1.05,6,0.5,2.25,24.99,25.15,25.08,99.44,93.53,11.24,21.71,35.57,67.74,299.6,1799,99.16,"Fermi_Gmax_5"
"5",-0.25,0.625,49.7,5.32,1.05,6,0.5,2.25,24.76,25.16,24.7,49.82,49.79,11.377,21.794,36.5,68.96,299.6,1800,99.16,"Fermi_Gmax_5"
"6",14.5,0.628,315,5.26,1.03,6,0.5,2.25,24.61,25.14,24.5,399.09,366.14,11.606,21.917,37.55,69.97,299.6,1800,99.15,"Fermi_Gmax_5"
"7",15.3,0.609,310,5.26,1.06,6,0.5,2.25,24.37,25.21,24.1,399.93,365.39,11.498,21.796,37.24,70.6,299.6,1799,99.15,"Fermi_Gmax_5"
"8",18.3,0.497,479,4.78,1.13,6,0.5,2.25,23.55,25.24,22.7,600.13,558.13,11.739,21.108,39.92,71.8,299.6,1800,99.14,"Fermi_Gmax_5"
"9",18.9,0.293,627,3.58,1.33,6,0.5,2.25,22.03,25.24,20.96,800.33,757.12,12.065,19.088,45,71.22,299.6,1800,99.14,"Fermi_Gmax_5"
"10",20,0.226,782,2.98,1.4,6,0.5,2.25,21.2,25.06,19.66,1000.94,955.27,12.218,18.075,48,70.91,299.6,1800,99.14,"Fermi_Gmax_5"
"11",19.9,0.186,946,2.62,1.48,6,0.5,2.25,21,25.15,19.8,1200.53,1154.62,12.339,17.488,49,69.46,299.6,1800,99.15,"Fermi_Gmax_5"
"12",20.1,0.145,1190,2.17,1.53,6,0.5,2.25,20.6,25.16,19.21,1499.88,1453.41,12.641,16.905,51.47,68.84,299.6,1799,99.14,"Fermi_Gmax_5"
"13",20.5,0.118,1610,1.83,1.58,6,0.5,2.25,20.25,25.15,18.88,2000.12,1951.85,12.825,16.422,53.36,68.34,299.6,1801,99.14,"Fermi_Gmax_5"
